Event	Start	End	Code cours
10027-07	19-10-2021 08:00:00	19-10-2021 09:30:00	CHIM0737-A-a
1009-07	19-10-2021 15:00:00	19-10-2021 17:00:00	SOCI2249-A-a
10153-07	19-10-2021 18:00:00	19-10-2021 20:00:00	ISLV0308-A-a
10182-07	19-10-2021 10:00:00	19-10-2021 12:00:00	TRAD0103-B-a
10185-07	19-10-2021 11:00:00	19-10-2021 12:30:00	TRAD0107-A-a
10362-07	19-10-2021 16:00:00	19-10-2021 18:00:00	LANG3013-A-a
10469-07	19-10-2021 14:00:00	19-10-2021 17:00:00	ERAS0011-A-a
10473-07	19-10-2021 15:30:00	19-10-2021 16:30:00	FINA9002-A-a
10523-07	19-10-2021 14:00:00	19-10-2021 16:00:00	TRAD0073-A-a
10534-07	19-10-2021 13:30:00	19-10-2021 17:30:00	CHIM0310-B-a
10621-07	19-10-2021 14:00:00	19-10-2021 16:00:00	CHIM0727-A-a
10694-07	19-10-2021 16:00:00	19-10-2021 18:00:00	TRAD0102-A-a
10757-07	19-10-2021 08:30:00	19-10-2021 12:30:00	VETE0464-A-a
1077-07	19-10-2021 15:15:00	19-10-2021 17:15:00	PATH0028-A-a
10785-07	19-10-2021 14:00:00	19-10-2021 16:00:00	LLOR0020-A-b
10801-07	19-10-2021 08:00:00	19-10-2021 11:00:00	INTR1123-A-a
10825-07	19-10-2021 10:30:00	19-10-2021 12:30:00	MATH0002-A-d
10826-07	19-10-2021 10:30:00	19-10-2021 12:30:00	MATH0002-A-d
10842-07	19-10-2021 11:00:00	19-10-2021 13:00:00	LGER0101-A-e
10915-07	19-10-2021 13:30:00	19-10-2021 15:30:00	VETE2078-A-a
11037-07	19-10-2021 10:30:00	19-10-2021 12:30:00	BIOC0720-A-a
11166-07	19-10-2021 13:00:00	19-10-2021 15:00:00	HULG9179-A-a
1120-07	19-10-2021 10:30:00	19-10-2021 12:30:00	LANG0077-D-a
11309-07	19-10-2021 11:00:00	19-10-2021 13:00:00	INTR0017-B-a
11330-07	19-10-2021 14:00:00	19-10-2021 17:00:00	LANG6006-A-a
11333-07	19-10-2021 10:30:00	19-10-2021 12:30:00	MATH0002-A-d
11350-07	19-10-2021 15:00:00	19-10-2021 17:00:00	LGER0198-A-a
1139-07	19-10-2021 08:30:00	19-10-2021 11:30:00	CHIM0714-A-a
11435-07	19-10-2021 10:30:00	19-10-2021 12:00:00	LANG0921-A-b
11547-07	19-10-2021 08:15:00	19-10-2021 10:15:00	SBIM2019-A-a
11549-07	19-10-2021 13:30:00	19-10-2021 16:30:00	SBIM2019-A-a
11562-07	19-10-2021 08:45:00	19-10-2021 10:15:00	PHYS0092-A-a
1160-07	19-10-2021 15:15:00	19-10-2021 18:15:00	LANG1916-A-a
1161-07	19-10-2021 15:15:00	19-10-2021 18:15:00	LANG1916-A-a
11664-07	19-10-2021 14:00:00	19-10-2021 16:00:00	HULG0465-A-a
11728-07	19-10-2021 10:00:00	19-10-2021 11:00:00	LCLA0089-A-a
1173-07	19-10-2021 18:00:00	19-10-2021 21:00:00	FINA0015-A-b
11759-07	19-10-2021 14:00:00	19-10-2021 16:00:00	BIOL0857-A-a
1179-07	19-10-2021 16:00:00	19-10-2021 18:00:00	CRIM3111-A-a
11798-07	19-10-2021 11:00:00	19-10-2021 13:00:00	LANG0986-A-a
11817-07	19-10-2021 08:30:00	19-10-2021 10:30:00	SANT3002-A-a
11833-07	19-10-2021 14:00:00	19-10-2021 16:00:00	TRAD0072-A-a
11848-07	19-10-2021 13:00:00	19-10-2021 16:00:00	HULG0474-A-a
11866-07	19-10-2021 13:00:00	19-10-2021 15:00:00	LGER0088-A-a
11881-07	19-10-2021 15:30:00	19-10-2021 17:30:00	MATH0069-A-a
11906-07	19-10-2021 13:30:00	19-10-2021 17:30:00	PHYS0972-A-a
119-07	19-10-2021 11:00:00	19-10-2021 13:00:00	ANTH0375-A-a
11911-07	19-10-2021 13:30:00	19-10-2021 17:30:00	CHIM0737-C-a
12001-07	19-10-2021 13:00:00	19-10-2021 14:30:00	TRAD0107-B-a
120-07	19-10-2021 09:00:00	19-10-2021 11:00:00	ANTH2237-B-a
12019-07	19-10-2021 08:30:00	19-10-2021 09:30:00	FINA0067-A-a
12046-07	19-10-2021 08:30:00	19-10-2021 10:30:00	BIOL0008-A-a
12070-07	19-10-2021 08:00:00	19-10-2021 10:00:00	HIST0085-A-a
1207-07	19-10-2021 08:15:00	19-10-2021 17:30:00	ARCH0569-A-a
1208-07	19-10-2021 08:15:00	19-10-2021 17:30:00	ARCH0571-A-a
121-07	19-10-2021 19:15:00	19-10-2021 21:15:00	DROI0928-A-a
12144-07	19-10-2021 10:00:00	19-10-2021 12:00:00	HAAR0078-A-a
12155-07	19-10-2021 09:00:00	19-10-2021 13:00:00	VETE0499-A-a
12204-07	19-10-2021 13:30:00	19-10-2021 17:30:00	VETE0067-A-b
