Event	Start	End	Code cours
10082-07	21-10-2021 14:00:00	21-10-2021 16:00:00	LGER0078-A-a
1010-07	21-10-2021 09:00:00	21-10-2021 12:00:00	LANG1910-A-a
10240-07	21-10-2021 15:00:00	21-10-2021 17:30:00	SPOL0021-A-a
10449-07	21-10-2021 15:15:00	21-10-2021 17:15:00	HULG9393-A-a
10450-07	21-10-2021 13:00:00	21-10-2021 15:00:00	HULG9394-A-a
10461-07	21-10-2021 16:30:00	21-10-2021 17:30:00	INFO0116-B-a
10462-07	21-10-2021 12:00:00	21-10-2021 14:00:00	TRAD0106-B-a
10492-07	21-10-2021 18:00:00	21-10-2021 20:00:00	ISLV0308-A-a
10538-07	21-10-2021 13:30:00	21-10-2021 17:30:00	CHIM0310-B-a
10610-07	21-10-2021 08:30:00	21-10-2021 10:00:00	HAAR0022-A-a
10619-07	21-10-2021 13:00:00	21-10-2021 15:00:00	GERI1005-A-a
10647-07	21-10-2021 10:30:00	21-10-2021 12:30:00	LEGI1007-A-a
10659-07	21-10-2021 08:30:00	21-10-2021 10:00:00	HULG9399-A-a
1079-07	21-10-2021 15:00:00	21-10-2021 17:00:00	SANT0013-A-a
10804-07	21-10-2021 15:30:00	21-10-2021 17:30:00	INTR0011-A-a
1098-07	21-10-2021 08:15:00	21-10-2021 10:15:00	PSYC5895-A-a
10981-07	21-10-2021 13:00:00	21-10-2021 15:00:00	LOGO5014-A-a
10983-07	21-10-2021 09:00:00	21-10-2021 12:00:00	GEST7005-A-a
1112-07	21-10-2021 10:30:00	21-10-2021 12:30:00	PSYC1099-A-a
11126-07	21-10-2021 10:15:00	21-10-2021 12:15:00	HULG9397-A-a
11134-07	21-10-2021 08:00:00	21-10-2021 10:30:00	TRAD0117-A-a
11137-07	21-10-2021 12:00:00	21-10-2021 14:00:00	TRAD0102-A-a
11141-07	21-10-2021 14:00:00	21-10-2021 16:00:00	TRAD0065-A-a
11151-07	21-10-2021 16:00:00	21-10-2021 18:00:00	TRAD0075-A-a
11171-07	21-10-2021 09:00:00	21-10-2021 12:00:00	GEOL0318-A-a
11322-07	21-10-2021 08:15:00	21-10-2021 10:15:00	OCEA0043-A-b
11349-07	21-10-2021 10:15:00	21-10-2021 12:15:00	OCEA0144-A-a
