Event	Start	End	Code cours
11452-07	21-10-2021 09:00:00	21-10-2021 12:00:00	FINA9014-A-a
11466-07	21-10-2021 10:30:00	21-10-2021 12:30:00	GEOL1041-A-a
11491-07	21-10-2021 13:30:00	21-10-2021 16:30:00	GEST7005-A-a
11493-07	21-10-2021 08:00:00	21-10-2021 10:00:00	MICA0001-A-a
11501-07	21-10-2021 10:15:00	21-10-2021 11:45:00	VETE2073-1
11519-07	21-10-2021 13:30:00	21-10-2021 17:30:00	GCIV0626-A-a
1152-07	21-10-2021 15:45:00	21-10-2021 17:45:00	HISL0542-A-a
1157-07	21-10-2021 09:00:00	21-10-2021 12:00:00	LANG1916-A-a
1158-07	21-10-2021 09:00:00	21-10-2021 12:00:00	LANG1916-A-a
1159-07	21-10-2021 09:00:00	21-10-2021 12:00:00	LANG1913-A-a
11656-07	21-10-2021 09:00:00	21-10-2021 10:00:00	HULG9397-A-a
11669-07	21-10-2021 08:30:00	21-10-2021 12:00:00	VETE2089-1
11698-07	21-10-2021 13:00:00	21-10-2021 17:45:00	SBIM2021-A-a
1170-07	21-10-2021 08:15:00	21-10-2021 10:15:00	LANG0310-A-a
11707-07	21-10-2021 09:00:00	21-10-2021 12:00:00	OCEA0097-A-a
11772-07	21-10-2021 15:45:00	21-10-2021 17:45:00	LANG6002-A-a
11780-07	21-10-2021 15:45:00	21-10-2021 17:45:00	LANG6002-A-a
118-07	21-10-2021 10:15:00	21-10-2021 12:15:00	ANTH0003-A-a
11825-07	21-10-2021 13:00:00	21-10-2021 15:00:00	HULG9393-A-a
11826-07	21-10-2021 15:15:00	21-10-2021 17:15:00	HULG9394-A-a
11829-07	21-10-2021 09:00:00	21-10-2021 11:00:00	TRAD0061-A-a
11831-07	21-10-2021 10:00:00	21-10-2021 12:00:00	TRAD0114-B-a
11834-07	21-10-2021 14:00:00	21-10-2021 16:00:00	TRAD0088-A-a
11849-07	21-10-2021 09:00:00	21-10-2021 12:00:00	HULG0474-A-a
11905-07	21-10-2021 14:00:00	21-10-2021 16:00:00	TRAD0161-A-a
11919-07	21-10-2021 13:30:00	21-10-2021 17:30:00	PHYS0972-A-a
11921-07	21-10-2021 13:30:00	21-10-2021 17:30:00	PHYS0972-A-a
11923-07	21-10-2021 09:00:00	21-10-2021 12:00:00	AESS0202-A-a
11930-07	21-10-2021 13:00:00	21-10-2021 16:00:00	AESS0202-A-a
1193-07	21-10-2021 11:00:00	21-10-2021 13:00:00	PEAV0024-A-b
11951-07	21-10-2021 08:30:00	21-10-2021 12:30:00	VETE0464-A-a
11990-07	21-10-2021 14:00:00	21-10-2021 15:30:00	INTR1120-A-a
1200-07	21-10-2021 11:30:00	21-10-2021 13:30:00	LCLA0075-A-a
1201-07	21-10-2021 12:00:00	21-10-2021 13:00:00	LROM9066-B-b
12018-07	21-10-2021 15:30:00	21-10-2021 16:30:00	FINA0067-A-a
1202-07	21-10-2021 12:30:00	21-10-2021 14:00:00	LLOR0092-A-a
1204-07	21-10-2021 13:00:00	21-10-2021 15:00:00	MUSI0007-A-c
1205-07	21-10-2021 13:00:00	21-10-2021 15:00:00	PHIL0028-A-a
1206-07	21-10-2021 14:00:00	21-10-2021 17:00:00	CINE0004-A-a
12073-07	21-10-2021 13:15:00	21-10-2021 14:15:00	TRAD0152-A-b
12093-07	21-10-2021 09:00:00	21-10-2021 12:00:00	AESS0202-A-a
12099-07	21-10-2021 13:00:00	21-10-2021 16:00:00	AESS0202-A-a
1210-07	21-10-2021 16:00:00	21-10-2021 18:00:00	HAAR0073-A-b
1211-07	21-10-2021 17:15:00	21-10-2021 19:15:00	GEST7031-A-a
1220-07	21-10-2021 09:00:00	21-10-2021 10:00:00	LCLA0074-A-a
12288-07	21-10-2021 09:30:00	21-10-2021 11:30:00	LCLA0069-A-a
1230-07	21-10-2021 13:15:00	21-10-2021 16:15:00	LOGI0016-A-a
123-07	21-10-2021 10:45:00	21-10-2021 12:45:00	CHIM0709-A-a
12365-07	21-10-2021 17:00:00	21-10-2021 20:00:00	PEDA4057-A-a
125-07	21-10-2021 13:00:00	21-10-2021 14:00:00	PROT0240-A-a
12525-07	21-10-2021 14:00:00	21-10-2021 16:00:00	BIOC0721-A-a
12676-07	21-10-2021 13:00:00	21-10-2021 17:00:00	HULG0472-A-a
12735-07	21-10-2021 15:30:00	21-10-2021 17:30:00	GEOL1033-A-a
12756-07	21-10-2021 13:15:00	21-10-2021 15:15:00	PSYC0091-A-a
12762-07	21-10-2021 10:15:00	21-10-2021 12:15:00	MICA0004-A-a
12770-07	21-10-2021 08:30:00	21-10-2021 10:00:00	VETE2073-1
12820-07	21-10-2021 13:30:00	21-10-2021 16:00:00	CLIM0017-C-a
12841-07	21-10-2021 10:00:00	21-10-2021 12:00:00	BIOL0860-A-a
12842-07	21-10-2021 13:00:00	21-10-2021 15:00:00	LANG0083-A-d
12893-07	21-10-2021 11:15:00	21-10-2021 13:15:00	PSYC0036-A-b
13019-07	21-10-2021 08:30:00	21-10-2021 18:00:00	BIOL0859-A-a
13072-07	21-10-2021 13:30:00	21-10-2021 15:30:00	GEOL1033-A-a
13090-07	21-10-2021 13:30:00	21-10-2021 16:30:00	PHYS0209-B-a
13102-07	21-10-2021 08:00:00	21-10-2021 11:00:00	LOGO0009-A-a
13172-07	21-10-2021 09:00:00	21-10-2021 12:00:00	GEOG2024-A-a
13225-07	21-10-2021 15:00:00	21-10-2021 17:00:00	PEDA4021-A-a
13314-07	21-10-2021 10:30:00	21-10-2021 12:30:00	BIOC0709-B-c
13393-07	21-10-2021 14:00:00	21-10-2021 16:00:00	LLOR0057-A-a
13407-07	21-10-2021 13:00:00	21-10-2021 15:00:00	METO1021-A-a
13447-07	21-10-2021 08:30:00	21-10-2021 10:30:00	QUAL0001-A-a
13450-07	21-10-2021 13:30:00	21-10-2021 17:45:00	PHYL0320-C-a
13576-07	21-10-2021 13:30:00	21-10-2021 15:30:00	VETE0067-A-b
13587-07	21-10-2021 13:30:00	21-10-2021 15:30:00	VETE0453-A-a
1359-07	21-10-2021 12:30:00	21-10-2021 14:30:00	INFO2043-A-a
13693-07	21-10-2021 13:00:00	21-10-2021 15:00:00	ANTH2241-A-a
137-07	21-10-2021 16:00:00	21-10-2021 17:30:00	MATH0073-B-a
13792-07	21-10-2021 13:30:00	21-10-2021 15:30:00	VETE2114-A-a
13815-07	21-10-2021 13:30:00	21-10-2021 17:00:00	EDPH0705-A-a
13841-07	21-10-2021 08:30:00	21-10-2021 12:30:00	CHIM9289-B-a
13842-07	21-10-2021 13:30:00	21-10-2021 17:30:00	CHIM9289-B-a
13885-07	21-10-2021 08:15:00	21-10-2021 10:00:00	ARCH1110-A-a
13899-07	21-10-2021 10:45:00	21-10-2021 12:45:00	MBIO0002-A-a
13944-07	21-10-2021 08:15:00	21-10-2021 10:15:00	SBIM2022-A-a
14004-07	21-10-2021 15:30:00	21-10-2021 17:30:00	ECON2280-A-a
14053-07	21-10-2021 13:30:00	21-10-2021 15:30:00	LANG0051-B-a
1408-07	21-10-2021 09:00:00	21-10-2021 12:00:00	LLOR0093-A-a
1410-07	21-10-2021 08:30:00	21-10-2021 10:30:00	HAAR0067-A-e
14104-07	21-10-2021 14:00:00	21-10-2021 16:00:00	SBIM2027-A-a
14107-07	21-10-2021 13:45:00	21-10-2021 17:45:00	ELEC0447-A-a
14200-07	21-10-2021 13:45:00	21-10-2021 17:45:00	BIOM0631-A-a
14218-07	21-10-2021 15:30:00	21-10-2021 17:30:00	SPOL0969-A-a
1425-07	21-10-2021 09:00:00	21-10-2021 10:00:00	LROM9066-B-a
1426-07	21-10-2021 09:00:00	21-10-2021 12:00:00	ASPE0006-A-a
1427-07	21-10-2021 10:00:00	21-10-2021 12:00:00	LROM0170-A-a
1429-07	21-10-2021 10:30:00	21-10-2021 12:30:00	HAAR0067-A-e
14331-07	21-10-2021 10:00:00	21-10-2021 12:00:00	COMU0436-A-a
1435-07	21-10-2021 11:00:00	21-10-2021 13:00:00	LROM0121-A-a
14390-07	21-10-2021 12:45:00	21-10-2021 14:45:00	SOCI0070-A-a
14395-07	21-10-2021 08:15:00	21-10-2021 10:15:00	MATH2007-A-a
14411-07	21-10-2021 10:30:00	21-10-2021 12:30:00	MATH2007-A-a
14421-07	21-10-2021 15:00:00	21-10-2021 16:00:00	LROM1018-A-a
1443-07	21-10-2021 13:00:00	21-10-2021 15:00:00	HAAR0070-A-a
1445-07	21-10-2021 14:00:00	21-10-2021 16:00:00	LGER0028-A-c
1447-07	21-10-2021 14:00:00	21-10-2021 16:00:00	ASIE0009-A-a
1449-07	21-10-2021 13:30:00	21-10-2021 17:30:00	ARCH0555-A-a
1450-07	21-10-2021 14:00:00	21-10-2021 16:00:00	LROM0161-A-a
145-07	21-10-2021 13:15:00	21-10-2021 15:15:00	LANG0039-A-b
1451-07	21-10-2021 16:00:00	21-10-2021 18:00:00	LGER0029-A-b
14512-07	21-10-2021 16:00:00	21-10-2021 20:00:00	MCER2015-A-a
14549-07	21-10-2021 08:30:00	21-10-2021 10:00:00	INFO0960-A-a
14585-07	21-10-2021 11:00:00	21-10-2021 12:30:00	LANG0921-A-b
14587-07	21-10-2021 15:00:00	21-10-2021 17:00:00	CRIM3114-A-a
14675-07	21-10-2021 15:00:00	21-10-2021 16:00:00	LROM0106-A-a
14726-07	21-10-2021 10:30:00	21-10-2021 12:30:00	IMMU0523-A-a
14729-07	21-10-2021 14:00:00	21-10-2021 15:00:00	LROM0106-A-a
14730-07	21-10-2021 12:00:00	21-10-2021 14:00:00	TRAD0072-A-a
1476-07	21-10-2021 15:15:00	21-10-2021 16:45:00	ECON2280-A-a
14819-07	21-10-2021 14:00:00	21-10-2021 15:00:00	LLOR0055-A-b
14899-07	21-10-2021 08:15:00	21-10-2021 10:15:00	MATH2007-A-a
14943-07	21-10-2021 08:30:00	21-10-2021 12:30:00	BIOL2030-A-a
14975-07	21-10-2021 10:30:00	21-10-2021 12:30:00	DROI7001-A-a
14986-07	21-10-2021 18:00:00	21-10-2021 20:00:00	ISLV0306-A-a
15013-07	21-10-2021 13:30:00	21-10-2021 15:30:00	GEOG2014-A-a
1502-07	21-10-2021 08:30:00	21-10-2021 10:30:00	SPOL0892-A-a
1503-07	21-10-2021 15:30:00	21-10-2021 17:30:00	SPOL3012-A-a
1508-07	21-10-2021 13:30:00	21-10-2021 15:30:00	SPOL9205-A-a
15150-07	21-10-2021 16:00:00	21-10-2021 18:00:00	SOCI2257-A-a
1516-07	21-10-2021 09:00:00	21-10-2021 12:00:00	LANG1909-A-a
15184-07	21-10-2021 10:30:00	21-10-2021 12:30:00	MATH0073-B-a
15216-07	21-10-2021 14:00:00	21-10-2021 16:30:00	HAAR0163-A-a
1529-07	21-10-2021 10:30:00	21-10-2021 12:30:00	STAT1750-A-a
15323-07	21-10-2021 10:30:00	21-10-2021 12:30:00	PHYS3027-A-a
15325-07	21-10-2021 10:45:00	21-10-2021 12:15:00	BIOL0864-A-a
15343-07	21-10-2021 13:30:00	21-10-2021 14:30:00	MATH0071-A-a
15445-07	21-10-2021 14:45:00	21-10-2021 15:45:00	MATH0071-A-a
15478-07	21-10-2021 10:30:00	21-10-2021 12:30:00	GEOG2014-A-a
15486-07	21-10-2021 08:30:00	21-10-2021 10:30:00	STAT0730-A-b
15506-07	21-10-2021 13:30:00	21-10-2021 15:30:00	VETE2111-A-a
15547-07	21-10-2021 12:00:00	21-10-2021 14:00:00	LANG0044-A-f
15555-07	21-10-2021 14:00:00	21-10-2021 17:00:00	GEOL0205-A-a
15751-07	21-10-2021 14:00:00	21-10-2021 18:00:00	BIOL0006-A-b
15846-07	21-10-2021 08:15:00	21-10-2021 10:15:00	MATH0006-B-b
15873-07	21-10-2021 14:30:00	21-10-2021 15:30:00	LGER0010-A-c
15922-07	21-10-2021 15:00:00	21-10-2021 18:00:00	BIOL0808-C-a
15947-07	21-10-2021 15:30:00	21-10-2021 17:30:00	CHIM0704-A-a
16026-07	21-10-2021 13:30:00	21-10-2021 15:30:00	ECON2289-A-a
16061-07	21-10-2021 09:00:00	21-10-2021 12:00:00	GEOL0205-A-a
16067-07	21-10-2021 14:00:00	21-10-2021 18:00:00	GEOL0304-A-a
16223-07	21-10-2021 11:15:00	21-10-2021 12:45:00	BIOL0847-A-a
16297-07	21-10-2021 10:30:00	21-10-2021 12:30:00	PHYS3033-A-a
16304-07	21-10-2021 15:00:00	21-10-2021 17:00:00	PHAR1001-A-a
16340-07	21-10-2021 14:00:00	21-10-2021 16:00:00	CHIM0726-A-a
1635-07	21-10-2021 13:30:00	21-10-2021 15:30:00	CHIM0332-A-b
16356-07	21-10-2021 10:30:00	21-10-2021 12:30:00	MATH0006-B-b
16409-07	21-10-2021 13:45:00	21-10-2021 17:45:00	INFO0054-A-a
16428-07	21-10-2021 14:00:00	21-10-2021 15:00:00	BIOL0808-C-a
16444-07	21-10-2021 17:00:00	21-10-2021 20:00:00	PEDA4057-A-a
16533-07	21-10-2021 11:05:00	21-10-2021 12:30:00	CHIM9256-A-a
1665-07	21-10-2021 09:00:00	21-10-2021 12:00:00	LANG1916-A-a
16665-07	21-10-2021 08:30:00	21-10-2021 10:30:00	PHYS0987-A-a
16690-07	21-10-2021 10:00:00	21-10-2021 11:00:00	LROM9066-B-b
16743-07	21-10-2021 08:30:00	21-10-2021 10:30:00	GEOL1041-A-a
1685-07	21-10-2021 18:00:00	21-10-2021 21:00:00	DROI0796-A-a
169-07	21-10-2021 08:30:00	21-10-2021 12:30:00	PHYS3018-A-a
17040-07	21-10-2021 16:15:00	21-10-2021 17:15:00	LGER0010-A-c
17054-07	21-10-2021 13:30:00	21-10-2021 14:30:00	LGER0010-A-c
17094-07	21-10-2021 08:30:00	21-10-2021 12:30:00	APRI0009-A-a
17153-07	21-10-2021 10:00:00	21-10-2021 12:00:00	LCLA0136-C-a
17196-07	21-10-2021 13:30:00	21-10-2021 16:30:00	GEST7052-C-a
17339-07	21-10-2021 09:00:00	21-10-2021 12:00:00	HSTG0024-A-a
17379-07	21-10-2021 17:00:00	21-10-2021 18:00:00	HSTG0010-A-a
17421-07	21-10-2021 08:00:00	21-10-2021 11:00:00	DROI8011-A-d
1746-07	21-10-2021 14:00:00	21-10-2021 16:00:00	ANTH0038-A-a
17465-07	21-10-2021 13:30:00	21-10-2021 17:30:00	PHYS0092-A-a
17487-07	21-10-2021 09:00:00	21-10-2021 11:00:00	CHIM9264-A-a
1753-07	21-10-2021 10:00:00	21-10-2021 11:30:00	LCLA0076-A-a
1754-07	21-10-2021 09:00:00	21-10-2021 12:00:00	HIST0039-A-a
1765-07	21-10-2021 08:30:00	21-10-2021 12:00:00	ECON2287-A-a
17653-07	21-10-2021 08:00:00	21-10-2021 10:00:00	HAAR0099-A-a
17731-07	21-10-2021 10:00:00	21-10-2021 12:00:00	PSYC0292-A-a
17804-07	21-10-2021 13:30:00	21-10-2021 15:30:00	ECON2289-A-a
17823-07	21-10-2021 10:00:00	21-10-2021 12:00:00	HAAR0132-A-a
17825-07	21-10-2021 14:00:00	21-10-2021 15:00:00	INFO0958-A-a
17828-07	21-10-2021 13:00:00	21-10-2021 15:00:00	TECH0754-A-a
17883-07	21-10-2021 10:30:00	21-10-2021 12:30:00	PHIL0084-A-a
17971-07	21-10-2021 10:00:00	21-10-2021 12:00:00	PHYS0993-A-a
17983-07	21-10-2021 13:00:00	21-10-2021 17:00:00	GPRO0001-A-a
18014-07	21-10-2021 10:30:00	21-10-2021 12:30:00	LANG0077-E-a
18076-07	21-10-2021 12:45:00	21-10-2021 16:15:00	ECON0064-A-c
18220-07	21-10-2021 15:15:00	21-10-2021 16:15:00	PSYC5891-A-a
18223-07	21-10-2021 10:00:00	21-10-2021 12:30:00	PSYC0092-A-a
18438-07	21-10-2021 10:25:00	21-10-2021 11:55:00	LANG0041-A-b
1844-07	21-10-2021 08:30:00	21-10-2021 12:30:00	CHIM0737-G-a
18485-07	21-10-2021 08:15:00	21-10-2021 10:15:00	MATH0071-B-a
18531-07	21-10-2021 11:00:00	21-10-2021 12:30:00	MATH0247-A-b
18595-07	21-10-2021 10:30:00	21-10-2021 12:00:00	KINE1002-A-a
18664-07	21-10-2021 15:30:00	21-10-2021 17:30:00	VETE0004-A-c
1882-07	21-10-2021 09:00:00	21-10-2021 11:30:00	MQGE0001-A-f
18901-07	21-10-2021 10:30:00	21-10-2021 12:30:00	LANG1001-A-a
18953-07	21-10-2021 11:15:00	21-10-2021 13:15:00	PSYC1120-A-a
18985-07	21-10-2021 13:30:00	21-10-2021 17:30:00	MECA0139-A-a
19021-07	21-10-2021 16:00:00	21-10-2021 19:00:00	PSYC0042-C-a
19041-07	21-10-2021 10:00:00	21-10-2021 12:00:00	CRIM0017-A-a
19192-07	21-10-2021 13:30:00	21-10-2021 15:30:00	DROI0960-A-a
19236-07	21-10-2021 08:30:00	21-10-2021 10:00:00	KINE1001-A-a
1930-07	21-10-2021 09:00:00	21-10-2021 12:03:00	ECON2288-A-a
19314-07	21-10-2021 13:00:00	21-10-2021 15:00:00	CHIM9234-B-a
19319-07	21-10-2021 13:15:00	21-10-2021 15:15:00	CHIM0743-A-a
19395-07	21-10-2021 15:45:00	21-10-2021 17:45:00	ORLG0240-A-a
19472-07	21-10-2021 13:15:00	21-10-2021 15:15:00	CHIM0743-A-a
19509-07	21-10-2021 10:15:00	21-10-2021 12:00:00	PATH3008-1
19529-07	21-10-2021 13:15:00	21-10-2021 15:15:00	VETE2077-A-a
19708-07	21-10-2021 08:00:00	21-10-2021 09:00:00	DENT0240-A-a
19876-07	21-10-2021 15:45:00	21-10-2021 17:45:00	VETE2078-A-a
2029-07	21-10-2021 13:30:00	21-10-2021 16:30:00	PHAR0344-A-c
20347-07	21-10-2021 08:00:00	21-10-2021 10:00:00	SPOL2331-A-a
2044-07	21-10-2021 13:30:00	21-10-2021 15:30:00	IMMU0230-A-a
20643-07	21-10-2021 10:30:00	21-10-2021 12:30:00	CHIM9277-A-a
2096-07	21-10-2021 08:15:00	21-10-2021 10:15:00	PSYC5837-A-a
2101-07	21-10-2021 17:00:00	21-10-2021 19:00:00	SANT4001-A-a
21013-07	21-10-2021 15:00:00	21-10-2021 17:00:00	LOGO5015-A-a
2109-07	21-10-2021 08:30:00	21-10-2021 10:30:00	PHAC1001-D-a
21164-07	21-10-2021 08:15:00	21-10-2021 10:15:00	LANG0038-A-a
21514-07	21-10-2021 09:00:00	21-10-2021 11:00:00	GERM0013-A-a
21746-07	21-10-2021 08:15:00	21-10-2021 12:15:00	ARCH0561-A-a
2180-07	21-10-2021 12:30:00	21-10-2021 15:00:00	DROI8018-A-a
2185-07	21-10-2021 08:00:00	21-10-2021 10:00:00	SPOL2334-A-a
21931-07	21-10-2021 15:45:00	21-10-2021 17:45:00	PHYS2022-A-b
2199-07	21-10-2021 13:00:00	21-10-2021 15:00:00	METO1009-A-a
22021-07	21-10-2021 10:00:00	21-10-2021 12:00:00	LGER0193-A-a
2215-07	21-10-2021 09:30:00	21-10-2021 12:30:00	MEDI0230-A-c
22446-07	21-10-2021 13:30:00	21-10-2021 15:30:00	BIOL0004-A-a
22702-07	21-10-2021 13:00:00	21-10-2021 15:00:00	SOCI0003-A-a
2282-07	21-10-2021 10:45:00	21-10-2021 12:45:00	PSYC0120-A-a
2289-07	21-10-2021 10:30:00	21-10-2021 12:30:00	LANG0077-E-a
22944-07	21-10-2021 16:00:00	21-10-2021 18:00:00	PHIL0034-A-a
2303-07	21-10-2021 08:15:00	21-10-2021 10:10:00	PHYS0972-A-a
23099-07	21-10-2021 08:00:00	21-10-2021 10:00:00	LOGO0020-A-a
2316-07	21-10-2021 08:30:00	21-10-2021 11:30:00	CHIM0714-A-a
23215-07	21-10-2021 12:00:00	21-10-2021 14:00:00	HIST0075-A-b
2326-07	21-10-2021 08:30:00	21-10-2021 10:30:00	SPOL1101-A-a
2329-07	21-10-2021 13:00:00	21-10-2021 15:00:00	CRIM3098-A-a
23353-07	21-10-2021 11:00:00	21-10-2021 13:00:00	LANG0086-A-c
23399-07	21-10-2021 16:00:00	21-10-2021 18:00:00	CHIM9272-A-b
23527-07	21-10-2021 13:00:00	21-10-2021 16:00:00	MARK0797-A-a
2377-07	21-10-2021 14:45:00	21-10-2021 16:45:00	MATH2008-A-a
23870-07	21-10-2021 12:15:00	21-10-2021 13:15:00	MATH2017-A-a
23883-07	21-10-2021 14:00:00	21-10-2021 16:00:00	HIST0047-A-a
2410-07	21-10-2021 10:30:00	21-10-2021 13:00:00	DROI2353-A-a
24108-07	21-10-2021 13:00:00	21-10-2021 16:00:00	ANTH2239-A-a
24132-07	21-10-2021 10:30:00	21-10-2021 12:30:00	PSYC1132-A-a
2437-07	21-10-2021 13:30:00	21-10-2021 15:30:00	SPOL0925-A-a
24393-07	21-10-2021 09:00:00	21-10-2021 11:00:00	HAAR0161-A-a
2452-07	21-10-2021 13:00:00	21-10-2021 15:00:00	SPOL0968-A-a
2455-07	21-10-2021 15:30:00	21-10-2021 18:15:00	DROI0963-A-a
2456-07	21-10-2021 09:00:00	21-10-2021 12:00:00	LANG1911-A-a
2458-07	21-10-2021 09:00:00	21-10-2021 12:00:00	LANG7001-A-a
24643-07	21-10-2021 08:45:00	21-10-2021 10:45:00	CHIM0729-A-a
247-07	21-10-2021 09:00:00	21-10-2021 12:00:00	SOCI0075-A-c
24801-07	21-10-2021 13:45:00	21-10-2021 15:45:00	CHIM9272-A-b
24876-07	21-10-2021 15:30:00	21-10-2021 16:30:00	FINA0067-A-a
24896-07	21-10-2021 16:50:00	21-10-2021 17:50:00	PHYS0956-B-b
2503-07	21-10-2021 16:00:00	21-10-2021 18:00:00	SPAT0017-A-a
25099-07	21-10-2021 14:00:00	21-10-2021 16:00:00	LGER0214-A-a
2523-07	21-10-2021 13:15:00	21-10-2021 15:15:00	LANG0039-A-b
2527-07	21-10-2021 10:30:00	21-10-2021 12:30:00	LANG0038-B-a
2529-07	21-10-2021 10:30:00	21-10-2021 12:30:00	LANG0077-E-a
25412-07	21-10-2021 08:00:00	21-10-2021 10:30:00	DROI1320-A-a
25656-07	21-10-2021 13:00:00	21-10-2021 15:00:00	DROI1224-A-a
2569-07	21-10-2021 13:30:00	21-10-2021 15:30:00	DROI0802-A-a
25965-07	21-10-2021 16:15:00	21-10-2021 17:15:00	MATH2017-A-a
26064-07	21-10-2021 11:00:00	21-10-2021 12:00:00	MATH2017-A-a
2622-07	21-10-2021 13:30:00	21-10-2021 16:30:00	SOCI2245-A-a
26242-07	21-10-2021 10:00:00	21-10-2021 12:00:00	ECON0842-A-c
2625-07	21-10-2021 08:30:00	21-10-2021 10:30:00	DROI2332-A-a
2640-07	21-10-2021 13:30:00	21-10-2021 15:30:00	HISL0542-A-a
2645-07	21-10-2021 14:00:00	21-10-2021 16:00:00	NERF0130-A-e
2648-07	21-10-2021 17:00:00	21-10-2021 19:00:00	SANT1004-A-a
2671-07	21-10-2021 10:30:00	21-10-2021 12:30:00	SPAT0160-A-a
2672-07	21-10-2021 13:00:00	21-10-2021 16:00:00	SPAT0072-A-a
2673-07	21-10-2021 11:00:00	21-10-2021 12:30:00	SPAT0008-A-a
2696-07	21-10-2021 10:30:00	21-10-2021 12:30:00	LANG0038-B-a
2708-07	21-10-2021 10:45:00	21-10-2021 12:45:00	APPR0122-A-d
271-07	21-10-2021 08:30:00	21-10-2021 10:30:00	PHYS3038-A-a
2784-07	21-10-2021 10:30:00	21-10-2021 12:30:00	MATH0006-B-b
2788-07	21-10-2021 18:00:00	21-10-2021 21:00:00	DROI2008-A-c
2789-07	21-10-2021 18:00:00	21-10-2021 21:00:00	GCER0103-A-a
2791-07	21-10-2021 18:00:00	21-10-2021 21:00:00	STAT0068-A-a
2835-07	21-10-2021 18:00:00	21-10-2021 21:00:00	ECON0903-A-a
289-07	21-10-2021 09:00:00	21-10-2021 12:00:00	ANTH2225-A-a
29047-07	21-10-2021 13:15:00	21-10-2021 15:15:00	LANG9908-A-a
291-07	21-10-2021 14:00:00	21-10-2021 17:00:00	DROI1346-A-a
2911-07	21-10-2021 13:00:00	21-10-2021 14:00:00	LROM1018-A-a
2926-07	21-10-2021 15:15:00	21-10-2021 17:15:00	PATH0028-1
2943-07	21-10-2021 08:00:00	21-10-2021 10:00:00	PATH3009-1
3045-07	21-10-2021 08:15:00	21-10-2021 10:15:00	MATH0470-A-a
3047-07	21-10-2021 13:30:00	21-10-2021 15:30:00	LANG2001-A-a
3048-07	21-10-2021 13:30:00	21-10-2021 15:30:00	LANG2001-A-a
3135-07	21-10-2021 12:30:00	21-10-2021 14:30:00	PEDA0071-A-a
314-07	21-10-2021 10:30:00	21-10-2021 12:30:00	LANG0038-B-a
3161-07	21-10-2021 13:00:00	21-10-2021 17:00:00	GEOG2024-A-a
3208-07	21-10-2021 15:00:00	21-10-2021 17:00:00	LANG0084-B-a
3209-07	21-10-2021 08:30:00	21-10-2021 10:00:00	EDPH0631-A-b
3211-07	21-10-2021 13:00:00	21-10-2021 15:00:00	LANG0044-A-f
3263-07	21-10-2021 08:00:00	21-10-2021 12:30:00	EDPH0614-A-a
3285-07	21-10-2021 13:30:00	21-10-2021 18:00:00	EDPH0703-A-a
3447-07	21-10-2021 13:45:00	21-10-2021 17:45:00	MATH0461-A-b
3475-07	21-10-2021 16:00:00	21-10-2021 18:00:00	NERF0535-A-b
3547-07	21-10-2021 12:30:00	21-10-2021 14:00:00	LANG0920-A-b
3552-07	21-10-2021 10:30:00	21-10-2021 12:30:00	INFO0212-A-b
