Event	Start	End	Code cours
16585-07	20-10-2021 13:45:00	20-10-2021 16:00:00	INFO0012-A-b
16599-07	20-10-2021 13:00:00	20-10-2021 15:00:00	LANG0086-A-c
16660-07	20-10-2021 09:00:00	20-10-2021 12:00:00	SPAT0040-A-a
16747-07	20-10-2021 10:30:00	20-10-2021 12:00:00	GEOL1039-B-a
16783-07	20-10-2021 09:00:00	20-10-2021 12:00:00	CHIM0719-A-a
16930-07	20-10-2021 10:30:00	20-10-2021 12:30:00	PHYS3130-A-a
1696-07	20-10-2021 16:15:00	20-10-2021 17:45:00	MATH0057-A-c
16970-07	20-10-2021 08:45:00	20-10-2021 10:15:00	PHYS0092-A-a
17030-07	20-10-2021 08:15:00	20-10-2021 17:30:00	ARCH2220-A-a
17151-07	20-10-2021 16:00:00	20-10-2021 17:00:00	LROM0115-B-a
17238-07	20-10-2021 08:30:00	20-10-2021 10:30:00	GEOL0320-A-a
1742-07	20-10-2021 10:00:00	20-10-2021 12:00:00	TECH0764-A-c
17477-07	20-10-2021 10:30:00	20-10-2021 12:30:00	PHYS3033-A-a
1749-07	20-10-2021 09:30:00	20-10-2021 11:30:00	PEAV0045-A-a
17521-07	20-10-2021 09:30:00	20-10-2021 12:30:00	LANG0003-A-b
17526-07	20-10-2021 13:30:00	20-10-2021 17:30:00	AESS1224-A-a
17559-07	20-10-2021 08:15:00	20-10-2021 10:15:00	CAVS0120-A-f
1759-07	20-10-2021 09:00:00	20-10-2021 12:00:00	FINA0023-A-d
17661-07	20-10-2021 16:00:00	20-10-2021 18:00:00	PBHIST009901
17782-07	20-10-2021 08:30:00	20-10-2021 11:30:00	GEST3013-A-a
17783-07	20-10-2021 16:00:00	20-10-2021 18:00:00	PHIL0042-A-a
17807-07	20-10-2021 09:00:00	20-10-2021 10:30:00	LANG0040-A-b
17988-07	20-10-2021 09:00:00	20-10-2021 12:00:00	GEST3030-A-a
17999-07	20-10-2021 10:30:00	20-10-2021 12:30:00	APPR0122-A-d
18005-07	20-10-2021 14:00:00	20-10-2021 17:30:00	AESS2218-C-a
18024-07	20-10-2021 11:30:00	20-10-2021 14:30:00	SOCI0755-A-a
18083-07	20-10-2021 13:45:00	20-10-2021 17:45:00	GBIO0001-A-a
18084-07	20-10-2021 16:00:00	20-10-2021 18:00:00	INFO0012-A-b
1816-07	20-10-2021 08:30:00	20-10-2021 11:30:00	CHIM0330-A-c
18227-07	20-10-2021 15:45:00	20-10-2021 17:45:00	BIOC0006-A-a
18384-07	20-10-2021 16:00:00	20-10-2021 18:00:00	PHYS0511-B-a
18475-07	20-10-2021 09:30:00	20-10-2021 12:30:00	ARCH0562-A-a
18523-07	20-10-2021 09:30:00	20-10-2021 12:30:00	DROI1004-A-a
18684-07	20-10-2021 13:00:00	20-10-2021 14:00:00	LCLA0070-A-a
18720-07	20-10-2021 09:00:00	20-10-2021 11:00:00	HAAR0041-A-a
18741-07	20-10-2021 13:00:00	20-10-2021 16:00:00	GEOG2013-A-a
18759-07	20-10-2021 14:00:00	20-10-2021 16:00:00	COMU0024-A-b
18928-07	20-10-2021 13:30:00	20-10-2021 15:30:00	CHIM9263-A-a
18961-07	20-10-2021 08:00:00	20-10-2021 09:00:00	LROM0056-A-b
18964-07	20-10-2021 12:00:00	20-10-2021 14:00:00	COMU0038-A-a
18965-07	20-10-2021 13:00:00	20-10-2021 16:00:00	GEST7077-A-a
18989-07	20-10-2021 09:00:00	20-10-2021 12:30:00	GEOG2013-A-a
19001-07	20-10-2021 15:15:00	20-10-2021 17:15:00	PATH0028-1
1913-07	20-10-2021 09:30:00	20-10-2021 11:30:00	LANG1997-A-a
19179-07	20-10-2021 15:00:00	20-10-2021 16:00:00	LCLA0065-B-a
19235-07	20-10-2021 08:15:00	20-10-2021 10:15:00	PSYC1008-A-c
19284-07	20-10-2021 15:00:00	20-10-2021 16:00:00	PHIL0042-A-a
1933-07	20-10-2021 09:00:00	20-10-2021 12:15:00	ECON0928-A-a
19351-07	20-10-2021 10:00:00	20-10-2021 11:00:00	LROM9066-B-b
19352-07	20-10-2021 09:00:00	20-10-2021 12:15:00	HULG9198-A-a
19449-07	20-10-2021 13:00:00	20-10-2021 15:00:00	CHIM0254-A-a
19457-07	20-10-2021 13:00:00	20-10-2021 16:00:00	HIST0082-A-a
19459-07	20-10-2021 09:00:00	20-10-2021 12:00:00	GEST7077-A-a
19521-07	20-10-2021 11:00:00	20-10-2021 12:00:00	LROM9066-B-b
19711-07	20-10-2021 15:15:00	20-10-2021 16:45:00	DROI1102-A-a
1985-07	20-10-2021 13:30:00	20-10-2021 16:30:00	CHIM0330-A-c
20168-07	20-10-2021 09:00:00	20-10-2021 12:00:00	LOGI0020-A-a
20181-07	20-10-2021 10:00:00	20-10-2021 12:00:00	HIST0160-A-b
20264-07	20-10-2021 08:15:00	20-10-2021 10:15:00	CHIM9275-A-a
20579-07	20-10-2021 11:15:00	20-10-2021 13:15:00	DROI8009-A-a
20580-07	20-10-2021 14:00:00	20-10-2021 16:00:00	DROI8009-A-a
20679-07	20-10-2021 13:30:00	20-10-2021 15:45:00	STAT0064-B-b
20772-07	20-10-2021 11:00:00	20-10-2021 12:00:00	PROT0431-C-a
21150-07	20-10-2021 17:00:00	20-10-2021 19:00:00	DROI1203-A-d
213-07	20-10-2021 10:00:00	20-10-2021 13:00:00	ANTH0049-A-a
2146-07	20-10-2021 08:30:00	20-10-2021 11:30:00	CHIM0714-A-a
21492-07	20-10-2021 13:00:00	20-10-2021 16:00:00	GEST7021-A-a
215-07	20-10-2021 13:00:00	20-10-2021 16:00:00	DROI1101-B-a
21584-07	20-10-2021 12:00:00	20-10-2021 13:00:00	LROM0100-A-a
218-07	20-10-2021 08:00:00	20-10-2021 09:00:00	DENT0240-A-a
2184-07	20-10-2021 08:00:00	20-10-2021 10:00:00	SPOL2202-A-a
22091-07	20-10-2021 14:00:00	20-10-2021 16:00:00	LROM0115-B-a
22182-07	20-10-2021 10:45:00	20-10-2021 12:15:00	TOXI0341-A-b
22298-07	20-10-2021 14:00:00	20-10-2021 17:00:00	SOCI0719-A-c
22331-07	20-10-2021 14:00:00	20-10-2021 17:00:00	AESS0313-A-a
2244-07	20-10-2021 11:00:00	20-10-2021 13:00:00	PSYC1006-A-a
2279-07	20-10-2021 12:00:00	20-10-2021 14:00:00	PSYC1038-A-a
23123-07	20-10-2021 10:45:00	20-10-2021 13:00:00	DROI2330-A-c
2345-07	20-10-2021 10:30:00	20-10-2021 12:30:00	CRIM0015-A-a
23458-07	20-10-2021 10:30:00	20-10-2021 12:00:00	MATH0059-A-b
2350-07	20-10-2021 13:00:00	20-10-2021 15:00:00	DROI1296-A-a
23554-07	20-10-2021 10:00:00	20-10-2021 13:00:00	HAAR0122-A-b
237-07	20-10-2021 13:15:00	20-10-2021 15:15:00	LANG0038-B-a
23857-07	20-10-2021 13:45:00	20-10-2021 15:45:00	INFO0946-A-a
23858-07	20-10-2021 16:00:00	20-10-2021 18:00:00	PHYS0511-B-a
24367-07	20-10-2021 14:00:00	20-10-2021 16:00:00	PSYC1054-A-a
24375-07	20-10-2021 14:00:00	20-10-2021 16:00:00	HAAR0064-A-a
24479-07	20-10-2021 08:30:00	20-10-2021 12:00:00	SBIM0494-B-a
24503-07	20-10-2021 14:00:00	20-10-2021 17:00:00	ANTH0052-C-a
24622-07	20-10-2021 13:45:00	20-10-2021 17:45:00	ELEN0016-A-b
24693-07	20-10-2021 08:30:00	20-10-2021 12:30:00	ELEC0018-A-a
2471-07	20-10-2021 13:30:00	20-10-2021 15:30:00	HISL0542-A-a
2496-07	20-10-2021 09:00:00	20-10-2021 12:00:00	SPAT0032-A-b
2497-07	20-10-2021 09:00:00	20-10-2021 12:00:00	SPAT0009-A-a
25-07	20-10-2021 08:30:00	20-10-2021 12:30:00	BIOL0847-C-a
2546-07	20-10-2021 08:00:00	20-10-2021 10:00:00	MATH2008-A-a
2547-07	20-10-2021 11:30:00	20-10-2021 12:30:00	ECON2284-A-a
25630-07	20-10-2021 11:00:00	20-10-2021 13:00:00	ASIE0028-A-a
2593-07	20-10-2021 12:30:00	20-10-2021 14:30:00	GEST3054-B-a
2594-07	20-10-2021 08:00:00	20-10-2021 10:00:00	LANG2942-A-a
2606-07	20-10-2021 08:45:00	20-10-2021 10:45:00	SPOL2327-A-a
2607-07	20-10-2021 15:00:00	20-10-2021 17:00:00	SPOL2321-A-a
2621-07	20-10-2021 10:00:00	20-10-2021 12:00:00	SPOL0091-A-a
2667-07	20-10-2021 13:30:00	20-10-2021 15:30:00	SPAT0036-A-a
2688-07	20-10-2021 10:30:00	20-10-2021 12:30:00	CHIM0710-A-a
2754-07	20-10-2021 13:30:00	20-10-2021 15:30:00	CHIM0710-A-a
2800-07	20-10-2021 13:00:00	20-10-2021 16:00:00	STAT0067-A-c
28111-07	20-10-2021 10:00:00	20-10-2021 13:00:00	FLES0012-A-d
2849-07	20-10-2021 10:00:00	20-10-2021 12:00:00	LANG1997-A-a
2897-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MATH0247-A-b
2900-07	20-10-2021 13:30:00	20-10-2021 16:30:00	PHYS2009-C-a
2918-07	20-10-2021 08:00:00	20-10-2021 10:00:00	TRAD0121-A-b
2945-07	20-10-2021 08:15:00	20-10-2021 10:15:00	MATH2020-A-a
2950-07	20-10-2021 08:00:00	20-10-2021 10:00:00	PATH3010-A-a
295-07	20-10-2021 13:00:00	20-10-2021 14:00:00	DEON2001-A-a
297-07	20-10-2021 08:15:00	20-10-2021 10:15:00	PHYS1985-A-a
3024-07	20-10-2021 10:30:00	20-10-2021 12:00:00	COMM0005-A-a
3031-07	20-10-2021 16:00:00	20-10-2021 18:00:00	LOCO0531-E-a
3034-07	20-10-2021 16:30:00	20-10-2021 18:00:00	LANG0040-A-b
3035-07	20-10-2021 16:30:00	20-10-2021 18:00:00	LANG0040-A-b
3041-07	20-10-2021 09:00:00	20-10-2021 12:00:00	LANG0001-A-b
3042-07	20-10-2021 09:00:00	20-10-2021 12:00:00	LANG0001-A-b
3044-07	20-10-2021 12:15:00	20-10-2021 13:45:00	MATH0470-A-a
3119-07	20-10-2021 10:45:00	20-10-2021 12:45:00	HISL0320-A-g
3132-07	20-10-2021 13:00:00	20-10-2021 16:00:00	PEDA4053-A-a
3213-07	20-10-2021 08:30:00	20-10-2021 12:30:00	CHIM0710-A-a
3278-07	20-10-2021 10:30:00	20-10-2021 12:30:00	PHYL0520-A-a
329-07	20-10-2021 17:00:00	20-10-2021 19:30:00	SOCI0096-A-a
3376-07	20-10-2021 09:00:00	20-10-2021 11:00:00	HIST0084-A-a
340-07	20-10-2021 15:45:00	20-10-2021 17:45:00	BIOL2026-A-b
3411-07	20-10-2021 18:00:00	20-10-2021 21:00:00	DTFE0009-B-a
3424-07	20-10-2021 10:00:00	20-10-2021 18:00:00	AESS0329-A-a
3425-07	20-10-2021 08:00:00	20-10-2021 10:00:00	LING0009-A-a
3434-07	20-10-2021 13:45:00	20-10-2021 17:45:00	GCIV0165-B-a
3452-07	20-10-2021 13:45:00	20-10-2021 17:45:00	MATH2021-A-a
3454-07	20-10-2021 13:45:00	20-10-2021 17:45:00	MATH7371-A-a
3541-07	20-10-2021 09:00:00	20-10-2021 10:30:00	LANG0040-A-b
356-07	20-10-2021 08:45:00	20-10-2021 10:15:00	MECA0201-A-a
3749-07	20-10-2021 08:45:00	20-10-2021 10:15:00	LANG0842-A-b
3808-07	20-10-2021 16:00:00	20-10-2021 18:00:00	SYST0002-A-b
383-07	20-10-2021 13:30:00	20-10-2021 17:30:00	STER0003-A-a
3872-07	20-10-2021 08:30:00	20-10-2021 10:00:00	EDPH0708-A-a
3876-07	20-10-2021 13:30:00	20-10-2021 15:30:00	CHIM0710-A-a
3891-07	20-10-2021 13:30:00	20-10-2021 15:30:00	PHYS0511-B-a
395-07	20-10-2021 10:00:00	20-10-2021 11:00:00	LGER0007-A-c
3955-07	20-10-2021 08:30:00	20-10-2021 10:00:00	LOCO0003-A-a
396-07	20-10-2021 10:00:00	20-10-2021 12:00:00	LROM0201-A-a
397-07	20-10-2021 11:00:00	20-10-2021 13:00:00	LROM0111-C-a
3978-07	20-10-2021 08:30:00	20-10-2021 12:30:00	MATH0024-A-a
398-07	20-10-2021 12:00:00	20-10-2021 13:00:00	LGER0007-A-c
3990-07	20-10-2021 08:00:00	20-10-2021 10:00:00	NERF0537-C-a
399-07	20-10-2021 13:00:00	20-10-2021 18:00:00	CINE0013-A-a
400-07	20-10-2021 13:00:00	20-10-2021 16:00:00	HIST0088-A-a
401-07	20-10-2021 14:00:00	20-10-2021 15:00:00	AESS0324-A-a
403-07	20-10-2021 16:00:00	20-10-2021 18:00:00	FLES0002-A-e
405-07	20-10-2021 17:00:00	20-10-2021 19:00:00	SOCI1088-B-a
4074-07	20-10-2021 09:00:00	20-10-2021 12:00:00	LANG0001-A-b
4137-07	20-10-2021 15:00:00	20-10-2021 18:00:00	LANG0003-A-b
421-07	20-10-2021 10:00:00	20-10-2021 12:00:00	STAT0002-A-b
4218-07	20-10-2021 13:00:00	20-10-2021 16:00:00	KINE0540-B-a
4229-07	20-10-2021 13:30:00	20-10-2021 18:00:00	EDPH0705-A-a
426-07	20-10-2021 14:00:00	20-10-2021 16:00:00	PROT0432-C-a
429-07	20-10-2021 10:45:00	20-10-2021 12:45:00	MATH2011-A-a
4314-07	20-10-2021 16:00:00	20-10-2021 18:00:00	SYST0002-A-b
4315-07	20-10-2021 16:00:00	20-10-2021 18:00:00	SYST0002-A-b
4344-07	20-10-2021 12:00:00	20-10-2021 14:00:00	LLOR0092-A-a
4357-07	20-10-2021 16:00:00	20-10-2021 18:00:00	SPAT0002-A-a
4366-07	20-10-2021 13:00:00	20-10-2021 16:00:00	SPAT0044-A-a
4383-07	20-10-2021 16:00:00	20-10-2021 18:00:00	PHYS0511-B-a
44-07	20-10-2021 17:00:00	20-10-2021 20:00:00	ANTH2228-A-a
4450-07	20-10-2021 08:30:00	20-10-2021 10:30:00	PSYC5844-A-a
4466-07	20-10-2021 14:00:00	20-10-2021 15:30:00	LOCO0004-A-a
45-07	20-10-2021 09:00:00	20-10-2021 12:00:00	ANTH2240-A-a
4512-07	20-10-2021 13:00:00	20-10-2021 15:00:00	NERF0537-E-a
4580-07	20-10-2021 09:15:00	20-10-2021 10:45:00	LANG0920-A-b
4581-07	20-10-2021 09:00:00	20-10-2021 10:30:00	LANG0920-A-b
4648-07	20-10-2021 10:00:00	20-10-2021 11:00:00	LANG8021-A-a
4655-07	20-10-2021 13:00:00	20-10-2021 16:00:00	PEDA1229-A-b
