Event	Start	End	Code cours
10061-07	20-10-2021 10:30:00	20-10-2021 12:30:00	BIOC9244-A-a
10099-07	20-10-2021 08:30:00	20-10-2021 12:30:00	PHYS3018-A-a
10116-07	20-10-2021 09:00:00	20-10-2021 12:00:00	INFO9017-A-a
10149-07	20-10-2021 18:00:00	20-10-2021 20:00:00	ISLV0307-A-a
10224-07	20-10-2021 18:30:00	20-10-2021 20:30:00	PSYC5860-A-a
10312-07	20-10-2021 10:30:00	20-10-2021 12:30:00	METO1021-A-a
10452-07	20-10-2021 11:00:00	20-10-2021 13:00:00	TRAD0102-A-a
10454-07	20-10-2021 13:00:00	20-10-2021 15:00:00	TRAD0062-A-a
10457-07	20-10-2021 16:00:00	20-10-2021 18:00:00	TRAD0074-A-a
10474-07	20-10-2021 16:30:00	20-10-2021 17:30:00	FINA9002-A-a
10536-07	20-10-2021 14:00:00	20-10-2021 18:00:00	CHIM0310-B-a
10558-07	20-10-2021 10:45:00	20-10-2021 12:45:00	MATH2033-A-a
10627-07	20-10-2021 09:00:00	20-10-2021 12:00:00	SEMI0735-A-a
1067-07	20-10-2021 16:15:00	20-10-2021 18:15:00	PSYC0018-A-a
10672-07	20-10-2021 12:00:00	20-10-2021 14:00:00	LGER0075-A-a
10770-07	20-10-2021 10:30:00	20-10-2021 12:30:00	VETE2102-A-a
10802-07	20-10-2021 09:00:00	20-10-2021 11:00:00	INTR0023-A-a
10832-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MATH0013-A-a
10835-07	20-10-2021 08:30:00	20-10-2021 10:30:00	LANG8031-A-a
10843-07	20-10-2021 14:00:00	20-10-2021 16:00:00	LGER0110-A-a
109-07	20-10-2021 08:30:00	20-10-2021 12:30:00	GEOG0054-A-a
10909-07	20-10-2021 14:00:00	20-10-2021 17:00:00	HAAR0091-A-a
10927-07	20-10-2021 17:00:00	20-10-2021 20:00:00	PEDA1046-A-c
10950-07	20-10-2021 09:30:00	20-10-2021 12:30:00	AESS1220-A-a
10951-07	20-10-2021 13:30:00	20-10-2021 16:30:00	AESS1220-A-a
11062-07	20-10-2021 10:45:00	20-10-2021 12:45:00	MATH2033-A-a
11065-07	20-10-2021 10:00:00	20-10-2021 18:30:00	ARCH3327-A-a
11076-07	20-10-2021 13:30:00	20-10-2021 15:30:00	CHIM0310-B-a
11078-07	20-10-2021 13:00:00	20-10-2021 16:00:00	SPOL0084-A-a
11110-07	20-10-2021 09:00:00	20-10-2021 11:00:00	TRAD0106-A-a
11128-07	20-10-2021 09:00:00	20-10-2021 11:00:00	TRAD0117-B-a
11131-07	20-10-2021 14:00:00	20-10-2021 16:00:00	TRAD0119-B-a
11132-07	20-10-2021 14:00:00	20-10-2021 16:00:00	TRAD0114-A-a
11133-07	20-10-2021 15:15:00	20-10-2021 17:15:00	TRAD0202-B-a
11175-07	20-10-2021 10:45:00	20-10-2021 12:45:00	DROI1357-A-a
11182-07	20-10-2021 13:30:00	20-10-2021 15:30:00	MSTG1004-A-a
11185-07	20-10-2021 13:00:00	20-10-2021 16:00:00	MSTG1004-A-a
11225-07	20-10-2021 10:30:00	20-10-2021 12:30:00	BIOL0847-B-a
11229-07	20-10-2021 13:30:00	20-10-2021 17:30:00	PHYS0972-A-a
11474-07	20-10-2021 14:00:00	20-10-2021 17:00:00	PEDA4035-A-a
11484-07	20-10-2021 16:15:00	20-10-2021 19:15:00	DROI1352-A-a
11499-07	20-10-2021 08:30:00	20-10-2021 12:00:00	VETE2089-1
11609-07	20-10-2021 08:15:00	20-10-2021 09:45:00	ARCH2220-A-a
11654-07	20-10-2021 10:00:00	20-10-2021 12:00:00	HULG9392-A-a
11658-07	20-10-2021 09:00:00	20-10-2021 11:00:00	TRAD0116-B-a
11683-07	20-10-2021 13:30:00	20-10-2021 17:00:00	AESS1223-C-a
11762-07	20-10-2021 14:00:00	20-10-2021 17:30:00	AESS1216-A-a
1180-07	20-10-2021 09:00:00	20-10-2021 11:00:00	SOCI1242-A-c
11824-07	20-10-2021 08:00:00	20-10-2021 10:00:00	HULG9393-A-a
11828-07	20-10-2021 11:00:00	20-10-2021 13:00:00	TRAD0116-A-a
11856-07	20-10-2021 10:30:00	20-10-2021 13:00:00	DROI0884-A-a
11890-07	20-10-2021 11:00:00	20-10-2021 12:00:00	PHIL0009-A-a
11917-07	20-10-2021 14:00:00	20-10-2021 18:00:00	BIOL0847-B-a
12003-07	20-10-2021 16:00:00	20-10-2021 18:00:00	TRAD0059-A-a
1209-07	20-10-2021 13:30:00	20-10-2021 17:30:00	ARCH0558-A-a
1212-07	20-10-2021 09:00:00	20-10-2021 12:00:00	MARK0796-A-a
12131-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MATH2020-A-a
12268-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MATH0013-A-a
12269-07	20-10-2021 13:45:00	20-10-2021 17:45:00	ELEC0054-A-a
12320-07	20-10-2021 08:00:00	20-10-2021 10:00:00	MECA0001-A-b
12386-07	20-10-2021 13:30:00	20-10-2021 17:30:00	VETE0453-A-a
12489-07	20-10-2021 08:00:00	20-10-2021 10:00:00	MECA0001-A-b
12490-07	20-10-2021 14:00:00	20-10-2021 17:00:00	AESS1214-A-a
12493-07	20-10-2021 13:30:00	20-10-2021 17:30:00	GEOL1049-A-a
12502-07	20-10-2021 08:00:00	20-10-2021 13:00:00	PHYS0991-A-a
12563-07	20-10-2021 17:00:00	20-10-2021 20:00:00	PEDA4054-A-a
12582-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MECA0001-A-b
12595-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MATH0013-A-a
12596-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MATH0013-A-a
12604-07	20-10-2021 13:30:00	20-10-2021 15:30:00	EDPH0622-A-d
12605-07	20-10-2021 08:30:00	20-10-2021 12:30:00	GCIV0607-A-b
12680-07	20-10-2021 08:30:00	20-10-2021 18:00:00	BIOL0859-A-a
1268-07	20-10-2021 08:15:00	20-10-2021 10:00:00	MATH0013-A-a
1269-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MATH0013-A-a
12693-07	20-10-2021 08:30:00	20-10-2021 10:30:00	MEDE0430-A-a
12761-07	20-10-2021 09:00:00	20-10-2021 12:00:00	MICA0002-A-a
12764-07	20-10-2021 13:15:00	20-10-2021 15:15:00	MICA0003-A-a
12780-07	20-10-2021 10:15:00	20-10-2021 12:15:00	SBIM2017-A-a
1293-07	20-10-2021 13:30:00	20-10-2021 17:30:00	CHIM0737-D-a
12934-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MATH0013-A-a
13013-07	20-10-2021 09:00:00	20-10-2021 12:00:00	FINA0028-A-e
1302-07	20-10-2021 08:00:00	20-10-2021 10:00:00	DROI1104-A-a
13087-07	20-10-2021 17:00:00	20-10-2021 19:00:00	PEAV0042-A-a
13118-07	20-10-2021 08:00:00	20-10-2021 10:00:00	SBIM2017-A-a
13173-07	20-10-2021 12:30:00	20-10-2021 17:00:00	SBIM2027-A-a
13217-07	20-10-2021 08:45:00	20-10-2021 10:45:00	CHIM0728-A-a
13232-07	20-10-2021 15:00:00	20-10-2021 17:00:00	LEGI1005-A-a
13236-07	20-10-2021 13:00:00	20-10-2021 15:00:00	METO1021-A-a
13259-07	20-10-2021 17:00:00	20-10-2021 19:00:00	SANT4025-A-a
1327-07	20-10-2021 11:00:00	20-10-2021 13:00:00	SPOL0378-A-d
1329-07	20-10-2021 16:00:00	20-10-2021 17:00:00	DROI8018-A-a
1332-07	20-10-2021 14:00:00	20-10-2021 16:00:00	PSYC5866-A-a
1333-07	20-10-2021 10:00:00	20-10-2021 12:00:00	SPOL2315-A-b
13357-07	20-10-2021 13:30:00	20-10-2021 16:30:00	BIBL0001-A-a
13382-07	20-10-2021 11:00:00	20-10-2021 13:00:00	CHIM0725-B-a
1339-07	20-10-2021 16:00:00	20-10-2021 18:00:00	SEMI0733-A-a
13462-07	20-10-2021 08:30:00	20-10-2021 10:30:00	BIOC0210-C-b
13526-07	20-10-2021 13:30:00	20-10-2021 17:30:00	CHIM0737-B-a
136-07	20-10-2021 10:30:00	20-10-2021 12:30:00	MATH0073-B-a
1362-07	20-10-2021 13:15:00	20-10-2021 16:15:00	LANG1965-A-a
13622-07	20-10-2021 13:30:00	20-10-2021 15:30:00	VETE2114-A-a
1363-07	20-10-2021 13:15:00	20-10-2021 16:15:00	LANG1965-A-a
1364-07	20-10-2021 13:15:00	20-10-2021 16:15:00	LANG1965-A-a
1392-07	20-10-2021 13:00:00	20-10-2021 17:00:00	AESS0333-A-a
13921-07	20-10-2021 14:00:00	20-10-2021 16:00:00	SBIM2018-A-a
13924-07	20-10-2021 10:30:00	20-10-2021 12:30:00	PHYS3132-A-a
1393-07	20-10-2021 13:00:00	20-10-2021 14:00:00	PHIL0019-A-a
1394-07	20-10-2021 14:00:00	20-10-2021 17:00:00	AESS0325-A-a
1396-07	20-10-2021 16:00:00	20-10-2021 18:00:00	PHIL0026-A-a
13977-07	20-10-2021 13:30:00	20-10-2021 15:30:00	BIOC0320-A-f
14005-07	20-10-2021 08:00:00	20-10-2021 10:00:00	MECA0001-A-b
14006-07	20-10-2021 08:00:00	20-10-2021 10:00:00	MECA0001-A-b
14036-07	20-10-2021 13:00:00	20-10-2021 15:00:00	PHYS0981-A-a
14063-07	20-10-2021 18:00:00	20-10-2021 20:00:00	CRIM3094-A-a
14088-07	20-10-2021 09:30:00	20-10-2021 11:00:00	DROI8008-A-c
14090-07	20-10-2021 16:00:00	20-10-2021 18:00:00	SBIM2018-A-a
14093-07	20-10-2021 18:00:00	20-10-2021 20:00:00	ISLV0307-A-a
1415-07	20-10-2021 13:30:00	20-10-2021 15:30:00	NEUR0430-A-a
14158-07	20-10-2021 13:15:00	20-10-2021 16:15:00	PSYC5845-A-b
14160-07	20-10-2021 13:45:00	20-10-2021 17:45:00	PROT0430-B-b
14174-07	20-10-2021 08:00:00	20-10-2021 10:00:00	MECA0001-A-b
14184-07	20-10-2021 08:30:00	20-10-2021 12:30:00	GEOL0314-A-a
14196-07	20-10-2021 17:00:00	20-10-2021 19:00:00	PSYC5886-A-a
1420-07	20-10-2021 10:00:00	20-10-2021 18:30:00	ARCH3327-A-a
14245-07	20-10-2021 13:30:00	20-10-2021 17:30:00	CHIM0054-A-b
14343-07	20-10-2021 17:00:00	20-10-2021 20:00:00	PEDA4022-A-a
14415-07	20-10-2021 11:00:00	20-10-2021 13:30:00	BIOL2027-A-a
14479-07	20-10-2021 08:00:00	20-10-2021 09:30:00	DROI8008-B-a
14528-07	20-10-2021 10:30:00	20-10-2021 12:00:00	EDPH2004-A-a
14551-07	20-10-2021 16:30:00	20-10-2021 18:30:00	OCEA0224-A-a
14573-07	20-10-2021 08:30:00	20-10-2021 12:30:00	INFO0953-A-a
1458-07	20-10-2021 09:00:00	20-10-2021 12:00:00	GEST3765-A-a
14645-07	20-10-2021 10:30:00	20-10-2021 12:30:00	BIOL0006-A-b
14710-07	20-10-2021 10:00:00	20-10-2021 11:30:00	LCLA0066-A-a
14847-07	20-10-2021 08:00:00	20-10-2021 10:00:00	LANG3002-B-a
1486-07	20-10-2021 10:15:00	20-10-2021 12:15:00	LANG2942-A-a
1487-07	20-10-2021 08:00:00	20-10-2021 10:00:00	STAT2006-A-a
14966-07	20-10-2021 10:45:00	20-10-2021 12:45:00	MATH0256-A-b
1501-07	20-10-2021 13:00:00	20-10-2021 15:00:00	SPOL2328-A-a
15068-07	20-10-2021 09:00:00	20-10-2021 13:00:00	ENVT3041-A-a
15170-07	20-10-2021 09:00:00	20-10-2021 12:00:00	GEST7021-A-a
1528-07	20-10-2021 08:30:00	20-10-2021 10:30:00	PHAR0344-A-c
15425-07	20-10-2021 10:00:00	20-10-2021 12:00:00	OCEA0025-A-a
15554-07	20-10-2021 13:45:00	20-10-2021 17:45:00	GEOL0029-A-d
15683-07	20-10-2021 13:15:00	20-10-2021 16:15:00	CHIM0719-A-a
15839-07	20-10-2021 13:30:00	20-10-2021 18:00:00	APRI0009-A-a
15924-07	20-10-2021 14:00:00	20-10-2021 16:00:00	PHIL0040-A-a
15963-07	20-10-2021 14:00:00	20-10-2021 16:00:00	HAAR0001-A-a
16038-07	20-10-2021 14:00:00	20-10-2021 16:00:00	FLES0004-A-c
16072-07	20-10-2021 09:00:00	20-10-2021 10:30:00	GEOL1039-B-a
16101-07	20-10-2021 14:00:00	20-10-2021 18:00:00	ENVT3041-A-a
1613-07	20-10-2021 13:00:00	20-10-2021 15:00:00	PSYC0001-B-a
16328-07	20-10-2021 15:45:00	20-10-2021 17:45:00	BIOL0006-A-b
16354-07	20-10-2021 13:30:00	20-10-2021 15:00:00	ARCH2220-A-a
16359-07	20-10-2021 08:00:00	20-10-2021 10:00:00	CHIM0054-A-b
16413-07	20-10-2021 14:30:00	20-10-2021 17:00:00	SOCI0758-A-a
16439-07	20-10-2021 11:00:00	20-10-2021 13:00:00	BIOC9221-B-a
16554-07	20-10-2021 11:00:00	20-10-2021 13:00:00	ECON2289-A-a
1658-07	20-10-2021 15:45:00	20-10-2021 17:45:00	HISL0542-A-a
