Name celcat;Name;Neighbourhood;Capacity;Building;Type
B35a Roskam (0/8);B35a Roskam;Liège Sart-Tilman - Hopital;250;B35a;Gradins
B35a Welsch (0/7);B35a Welsch;Liège Sart-Tilman - Hopital;250;B35a;Gradins
B37 Auditoire 01 (0/1);B37 Auditoire 01;Liège Sart-Tilman - Polytech;164;B37;Gradins
B37 Auditoire 02 (0/2);B37 Auditoire 02;Liège Sart-Tilman - Polytech;104;B37;Gradins
B4 A204 (0/24);B4 A204;Liège Sart-Tilman - Agora;195;B4;Gradins
B4 A304 (0/30);B4 A304;Liège Sart-Tilman - Agora;295;B4;Gradins
B4 A604 (0/75);B4 A604;Liège Sart-Tilman - Agora;585;B4;Gradins
B41 AMPHI A (0/5a);B41 AMPHI A;Liège Sart-Tilman - Vallée;160;B41;Gradins
B42 Amphi B (0/3a);B42 Amphi B;Liège Sart-Tilman - Vallée;160;B42;Gradins
B43a Amphi D (2/36a);B43a Amphi D;Liège Sart-Tilman - Vallée;140;B43a;Gradins
B45 AMPHI C (0/8);B45 AMPHI C;Liège Sart-Tilman - Vallée;200;B45;Gradins
B6a R43 (0/43);B6a R43;Liège Sart-Tilman - Agora;30;B6a;Gradins
B7a A300 (0/5);B7a A300;Liège Sart-Tilman - Agora;300;B7a;Gradins
B7a A303 (0/3);B7a A303;Liège Sart-Tilman - Agora;300;B7a;Gradins
B7a A500 (0/7);B7a A500;Liège Sart-Tilman - Agora;500;B7a;Gradins
B7b A142 (0/28);B7b A142;Liège Sart-Tilman - Agora;140;B7b;Gradins
B7b A202 (0/26);B7b A202;Liège Sart-Tilman - Agora;200;B7b;Gradins
B8 Théâtre Dick Annegarn (0/1);B8 Théâtre Dick Annegarn;Liège Sart-Tilman - Agora;216;B8;Gradins
F1 Grand auditoire B01 (0/2);F1 Grand auditoire B01;Liège centre - Louvrex;105;F1;Gradins
I1 Amphi de Zoologie (0/39);I1 Amphi de Zoologie;Liège centre - Beneden-Pitteurs;565;I1;Gradins
J6 Auditoire (0/35);J6 Auditoire;Liège centre - Outremeuse;102;J6;Gradins
L1 (0/40);L1 0/40;Liège centre - Beneden-Pitteurs;96;L1;Gradins
L3 Auditoire 0/13A;L3 Auditoire 0/13A;Liège centre - Beneden-Pitteurs;272;L3;Gradins
N1a 30 (0/30);N1a 30;Liège centre - Louvrex;228;N1a;Gradins
N1a 50 (0/50);N1a 50;Liège centre - Louvrex;513;N1a;Gradins
O2 Bovy (3/7b);O2 Bovy;Liège centre - Opéra;140;O2;Gradins
O2 Lejeune (1/3a);O2 Lejeune;Liège centre - Opéra;267;O2;Gradins
O2 Noppius (2/3a);O2 Noppius;Liège centre - Opéra;500;O2;Gradins
O2 Pousseur (3/7a);O2 Pousseur;Liège centre - Opéra;98;O2;Gradins
O2 Thiry (2/8a);O2 Thiry;Liège centre - Opéra;240;O2;Gradins
