Event	Start	End	Code cours
1368-07	18-10-2021 14:15:00	18-10-2021 15:15:00	LANG1906-A-a
13720-07	18-10-2021 08:30:00	18-10-2021 10:30:00	RADL0442-A-a
13791-07	18-10-2021 13:30:00	18-10-2021 15:30:00	VETE2114-A-a
13814-07	18-10-2021 14:00:00	18-10-2021 16:00:00	LCLA0070-A-a
13816-07	18-10-2021 08:15:00	18-10-2021 12:15:00	ARCH1108-A-a
13877-07	18-10-2021 10:00:00	18-10-2021 12:00:00	SPOL0958-A-a
13878-07	18-10-2021 16:45:00	18-10-2021 18:45:00	LANG1934-A-a
13882-07	18-10-2021 13:00:00	18-10-2021 14:00:00	LANG1906-A-a
14038-07	18-10-2021 10:30:00	18-10-2021 11:30:00	LANG4016-A-a
1418-07	18-10-2021 08:15:00	18-10-2021 12:15:00	ARCH3328-A-a
14346-07	18-10-2021 10:30:00	18-10-2021 12:30:00	PSYC5876-A-a
1440-07	18-10-2021 08:15:00	18-10-2021 12:15:00	ARCH0589-A-a
1441-07	18-10-2021 08:15:00	18-10-2021 12:15:00	ARCH0594-A-a
1442-07	18-10-2021 13:30:00	18-10-2021 17:30:00	ARCH0595-A-a
14424-07	18-10-2021 10:45:00	18-10-2021 12:45:00	CHIM0678-A-a
14437-07	18-10-2021 14:15:00	18-10-2021 15:15:00	LANG1906-A-a
14485-07	18-10-2021 18:00:00	18-10-2021 20:00:00	ISLV0307-A-a
1453-07	18-10-2021 13:30:00	18-10-2021 16:30:00	STAT2006-A-a
14575-07	18-10-2021 09:00:00	18-10-2021 12:00:00	GRHO0013-A-c
14612-07	18-10-2021 11:00:00	18-10-2021 13:00:00	SPOL2332-A-a
14668-07	18-10-2021 10:30:00	18-10-2021 12:30:00	ARCH0069-A-b
14682-07	18-10-2021 09:00:00	18-10-2021 12:00:00	FINA0065-A-a
1475-07	18-10-2021 11:00:00	18-10-2021 13:30:00	DROI1242-A-a
14808-07	18-10-2021 08:30:00	18-10-2021 10:00:00	PHYS0982-A-a
14812-07	18-10-2021 15:45:00	18-10-2021 17:45:00	SBIM2005-A-a
14822-07	18-10-2021 12:00:00	18-10-2021 14:00:00	LCLA0070-A-a
14849-07	18-10-2021 14:00:00	18-10-2021 17:00:00	LLOR0073-A-b
15119-07	18-10-2021 14:30:00	18-10-2021 17:30:00	SPOL9209-A-a
15143-07	18-10-2021 10:45:00	18-10-2021 12:45:00	MICR0120-B-a
15160-07	18-10-2021 11:00:00	18-10-2021 13:00:00	CHIM0737-C-a
15182-07	18-10-2021 12:00:00	18-10-2021 15:00:00	INTR0020-B-a
152-07	18-10-2021 13:00:00	18-10-2021 17:00:00	DENT1004-F-a
154-07	18-10-2021 14:00:00	18-10-2021 16:00:00	SOCI0078-A-b
15540-07	18-10-2021 08:30:00	18-10-2021 10:30:00	NEUR0431-A-a
15546-07	18-10-2021 11:00:00	18-10-2021 13:00:00	CHIM0739-A-a
1577-07	18-10-2021 13:00:00	18-10-2021 14:30:00	PATH0028-A-a
15773-07	18-10-2021 13:30:00	18-10-2021 16:30:00	ASTR0204-A-b
159-07	18-10-2021 15:00:00	18-10-2021 17:00:00	SOCI0090-A-a
15949-07	18-10-2021 12:00:00	18-10-2021 14:00:00	SOCI0754-A-a
16059-07	18-10-2021 14:00:00	18-10-2021 18:00:00	GEOL0018-A-a
1614-07	18-10-2021 08:30:00	18-10-2021 10:30:00	PSYC5910-A-a
16279-07	18-10-2021 11:00:00	18-10-2021 12:30:00	PHYS0092-A-a
16314-07	18-10-2021 13:30:00	18-10-2021 17:30:00	ARCH1108-A-a
16344-07	18-10-2021 15:00:00	18-10-2021 16:30:00	INTR0024-A-a
16450-07	18-10-2021 15:00:00	18-10-2021 18:00:00	MECA0002-A-a
16592-07	18-10-2021 13:00:00	18-10-2021 17:00:00	VETE2093-F-a
16726-07	18-10-2021 09:00:00	18-10-2021 11:00:00	PALE0201-A-a
16741-07	18-10-2021 08:30:00	18-10-2021 10:30:00	GEOL0224-A-b
16742-07	18-10-2021 13:30:00	18-10-2021 17:00:00	GEOL0008-C-a
1692-07	18-10-2021 09:00:00	18-10-2021 12:00:00	LANG1953-A-a
1694-07	18-10-2021 13:00:00	18-10-2021 16:00:00	LANG1953-A-a
16961-07	18-10-2021 09:00:00	18-10-2021 12:00:00	GEOG0238-D-a
16986-07	18-10-2021 16:00:00	18-10-2021 18:00:00	COMU2145-A-a
16987-07	18-10-2021 08:00:00	18-10-2021 11:00:00	ARCH1108-A-a
1705-07	18-10-2021 08:00:00	18-10-2021 10:15:00	MQGE0001-A-f
1708-07	18-10-2021 14:00:00	18-10-2021 16:30:00	INFO9001-B-a
17085-07	18-10-2021 14:00:00	18-10-2021 15:00:00	LCLA0074-A-a
17148-07	18-10-2021 10:30:00	18-10-2021 12:30:00	PHYS0956-B-b
17233-07	18-10-2021 14:00:00	18-10-2021 17:00:00	PALE0201-A-a
17248-07	18-10-2021 10:30:00	18-10-2021 12:30:00	GEOL0224-A-b
17290-07	18-10-2021 10:15:00	18-10-2021 12:15:00	ALIM0006-A-a
1745-07	18-10-2021 09:00:00	18-10-2021 11:00:00	HREL0004-A-a
