,Enrolled
16301-07,391
13106-07,230
2879-07,41
2755-07,70
15911-07,391
19040-07,391
5651-07,43
14490-07,1
2660-07,161
11881-07,129
16404-07,44
6491-07,25
7477-07,208
17767-07,391
3417-07,11
4458-07,14
7240-07,266
3418-07,52
4490-07,13
924-07,32
17319-07,17
214-07,24
13066-07,9
3551-07,4
1949-07,13
4850-07,51
4337-07,36
26110-07,7
5847-07,204
221-07,92
3546-07,408
8995-07,6
3310-07,26
5939-07,46
5113-07,42
531-07,4
13368-07,2
612-07,41
18633-07,135
404-07,5
17590-07,26
6562-07,11
2662-07,3
6621-07,62
864-07,4
14488-07,236
5285-07,81
6110-07,15
163-07,30
1946-07,11
7260-07,266
6267-07,102
4336-07,57
2880-07,27
14092-07,24
1710-07,120
1947-07,2
1943-07,4
10842-07,11
15346-07,26
1446-07,20
3830-07,12
11759-07,15
12315-07,101
14262-07,617
13884-07,535
4833-07,291
1662-07,189
5029-07,16
576-07,34
1604-07,936
4334-07,18
3386-07,3
11309-07,1
3987-07,182
15485-07,29
13108-07,305
12585-07,129
14341-07,99
2942-07,49
20235-07,4
2913-07,26
19545-07,391
5947-07,9
2158-07,221
14924-07,8
21861-07,17
12204-07,102
5977-07,6
5183-07,535
6838-07,26
3451-07,3
18256-07,221
4144-07,19
1743-07,217
1161-07,164
15100-07,25
26060-07,17
1371-07,147
707-07,5
14371-07,7
2439-07,20
7610-07,91
10694-07,24
1680-07,56
16190-07,29
1861-07,32
122-07,42
26087-07,14
1207-07,27
12217-07,109
2555-07,182
7684-07,18
4574-07,554
16212-07,41
5114-07,71
361-07,11
1208-07,1
25072-07,452
78-07,18
3835-07,15
6975-07,26
13187-07,94
7427-07,84
1778-07,17
10915-07,277
9592-07,227
12815-07,7
1944-07,11
121-07,144
18651-07,189
4845-07,535
4743-07,5
6813-07,1
3548-07,408
410-07,241
12144-07,27
13071-07,20
12769-07,305
1077-07,161
1173-07,16
5940-07,62
13852-07,29
6804-07,26
4933-07,197
5491-07,184
2454-07,20
1569-07,687
7770-07,84
1473-07,617
20394-07,144
119-07,3
6080-07,75
10362-07,109
6989-07,12
9587-07,241
13999-07,14
9992-07,66
2584-07,15
11547-07,11
15790-07,182
2910-07,6
11833-07,24
18462-07,94
2349-07,477
3959-07,226
4363-07,20
10621-07,19
11562-07,34
7744-07,266
23730-07,2
11866-07,2
18898-07,503
23533-07,35
9679-07,1
7139-07,199
1776-07,10
5833-07,298
2443-07,6
925-07,102
10523-07,7
14249-07,122
14330-07,250
120-07,96
4992-07,27
46-07,51
3829-07,0
26091-07,62
6855-07,315
3281-07,134
9260-07,169
15299-07,10
598-07,57
5184-07,535
11350-07,10
18760-07,12
5374-07,11
2694-07,63
1358-07,162
9920-07,51
1384-07,554
3853-07,56
6752-07,295
6555-07,19
4375-07,122
12584-07,318
3972-07,32
9062-07,19
2629-07,164
2881-07,3
3264-07,260
11911-07,225
14876-07,9
8984-07,53
15639-07,600
1700-07,26
5162-07,291
1852-07,114
5416-07,16
1179-07,83
