,Enrolled
3727-07,29
3833-07,5
10534-07,316
5630-07,15
9076-07,39
3416-07,3
11798-07,17
4829-07,36
15819-07,49
7392-07,26
5892-07,44
824-07,219
3269-07,182
4760-07,9
10826-07,333
11330-07,85
2492-07,23
10801-07,3
6455-07,8
2472-07,189
18022-07,62
14908-07,17
368-07,21
394-07,8
5601-07,1
3448-07,228
12586-07,333
19542-07,391
6822-07,19
6751-07,301
6113-07,9
1139-07,156
5286-07,47
1431-07,83
10182-07,18
9622-07,348
222-07,55
13880-07,315
13463-07,34
2799-07,215
4805-07,15
1865-07,215
16481-07,158
61-07,151
326-07,66
5906-07,40
9548-07,78
15856-07,316
15935-07,364
9978-07,3
11728-07,3
3902-07,156
22560-07,40
17142-07,40
4338-07,71
16958-07,34
4341-07,244
9762-07,190
20937-07,52
4916-07,4
3385-07,45
1961-07,36
2402-07,554
160-07,20
11435-07,250
12804-07,13
16066-07,8
2117-07,18
4339-07,22
23389-07,15
9214-07,22
7692-07,266
301-07,190
3945-07,152
21481-07,8
18853-07,222
15079-07,9
1428-07,29
11166-07,26
5819-07,42
1448-07,14
25377-07,101
879-07,554
8830-07,2
14342-07,99
5116-07,2
20938-07,30
2378-07,206
12046-07,26
12955-07,12
21768-07,15
2878-07,21
12942-07,74
18040-07,51
19320-07,14
14365-07,22
4983-07,115
4510-07,16
6983-07,45
2404-07,554
4991-07,27
3832-07,10
3421-07,18
1780-07,6
9373-07,137
9215-07,2
1695-07,215
10153-07,1
6058-07,26
17087-07,96
14141-07,115
19246-07,57
3822-07,31
852-07,162
3387-07,75
1779-07,17
17476-07,182
3831-07,9
19224-07,94
481-07,2
7184-07,2
912-07,177
15560-07,7
5768-07,17
19507-07,2
9721-07,2
13507-07,8
13142-07,13
17906-07,115
5258-07,42
4652-07,2
2909-07,17
8141-07,136
126-07,79
8623-07,212
12001-07,3
6471-07,24
8771-07,298
17812-07,67
24453-07,108
4452-07,152
9720-07,9
5509-07,34
11817-07,145
7354-07,266
1120-07,28
9965-07,3
17072-07,189
1497-07,30
8932-07,43
2491-07,418
16636-07,59
12070-07,4
17965-07,2
2351-07,11
1361-07,206
26467-07,10
1686-07,85
3887-07,41
2877-07,59
2288-07,22
4736-07,30
1507-07,74
1775-07,41
14077-07,348
11037-07,30
10185-07,3
15106-07,25
4583-07,1
18374-07,187
333-07,81
9526-07,31
3037-07,184
6277-07,1
2614-07,29
5500-07,184
9089-07,44
3400-07,73
18369-07,27
6411-07,159
5858-07,535
13909-07,348
10785-07,9
231-07,151
1340-07,391
2583-07,19
3828-07,4
1879-07,120
1948-07,43
11848-07,24
12480-07,14
865-07,100
9718-07,18
11906-07,236
4838-07,535
11333-07,333
306-07,45
12337-07,146
11549-07,11
19176-07,335
12155-07,21
4142-07,2
14385-07,8
2548-07,206
338-07,227
3133-07,64
3390-07,12
19028-07,11
14177-07,101
1810-07,333
13960-07,30
1009-07,5
10027-07,593
1444-07,28
330-07,11
3389-07,24
7532-07,10
15940-07,18
5649-07,9
6266-07,6
1777-07,4
5224-07,150
17736-07,115
3388-07,26
9079-07,98
19544-07,391
4742-07,40
3040-07,245
6366-07,535
18811-07,310
8304-07,13
14907-07,4
760-07,333
156-07,30
12818-07,55
10757-07,169
12925-07,333
16146-07,600
6059-07,23
2286-07,63
19045-07,391
765-07,92
2925-07,14
300-07,36
12255-07,144
19451-07,67
14221-07,58
162-07,9
4340-07,2
6347-07,36
7739-07,656
24535-07,205
4825-07,291
220-07,137
12019-07,592
17342-07,2
5712-07,5
822-07,345
1774-07,54
5952-07,106
2530-07,41
17791-07,6
3952-07,11
16120-07,144
5180-07,535
2620-07,95
2948-07,33
1160-07,164
5845-07,291
6969-07,5
364-07,9
12809-07,4
16832-07,209
11664-07,26
17172-07,208
17237-07,20
5970-07,7
2908-07,27
6367-07,535
2883-07,28
288-07,95
6056-07,2
12899-07,2
3003-07,18
3827-07,1
14229-07,617
18416-07,348
16401-07,811
14604-07,5
7743-07,266
6352-07,291
498-07,193
7261-07,266
795-07,676
2413-07,617
5179-07,535
25839-07,225
6986-07,358
2582-07,43
2882-07,17
2589-07,600
10825-07,333
936-07,5
12687-07,10
18437-07,4
4387-07,28
13342-07,50
1272-07,92
10469-07,18
15916-07,391
10473-07,216
16875-07,21
