,Enrolled
1204-07,9
7515-07,21
10659-07,18
68-07,267
14200-07,7
1211-07,27
914-07,140
4972-07,151
11151-07,30
17094-07,22
3045-07,13
920-07,11
15751-07,266
6490-07,22
5572-07,179
145-07,202
14053-07,535
5988-07,272
123-07,26
19472-07,3
14421-07,67
853-07,216
3883-07,267
2096-07,396
537-07,14
402-07,22
15216-07,3
18953-07,124
24896-07,206
5549-07,13
14986-07,2
3048-07,220
2648-07,3
5192-07,90
15184-07,45
314-07,267
15486-07,164
12842-07,105
12093-07,276
937-07,6
5463-07,282
14390-07,858
945-07,4
26064-07,182
9087-07,64
3285-07,32
5000-07,20
6984-07,45
4847-07,535
13072-07,11
19708-07,23
10462-07,7
4778-07,2
5271-07,35
6075-07,28
24801-07,252
5460-07,124
9612-07,16
21164-07,10
6828-07,3
3211-07,115
16340-07,18
18014-07,111
10981-07,35
3950-07,28
18595-07,229
2215-07,30
11780-07,39
1410-07,1
5855-07,535
8609-07,298
13885-07,337
1451-07,30
19395-07,29
12018-07,592
6019-07,179
