,Enrolled
6973-07,325
12596-07,296
1501-07,102
6478-07,179
5467-07,28
6805-07,6
9466-07,5
11484-07,195
5009-07,9
12595-07,296
401-07,6
6829-07,8
13259-07,13
23857-07,83
532-07,10
5523-07,179
565-07,12
4218-07,161
6349-07,120
1396-07,15
888-07,4
51-07,33
10224-07,204
400-07,13
1749-07,22
58-07,129
5877-07,142
9052-07,7
10099-07,227
6567-07,2
3035-07,554
9203-07,176
9516-07,83
20772-07,29
23858-07,418
395-07,5
11229-07,236
22091-07,57
399-07,14
16354-07,214
856-07,183
566-07,26
17526-07,7
12604-07,44
5522-07,179
4802-07,15
8959-07,50
136-07,45
2607-07,55
5942-07,24
16747-07,34
2945-07,38
5760-07,19
8311-07,106
421-07,210
885-07,58
8791-07,132
5016-07,179
11131-07,5
10312-07,137
3278-07,278
601-07,11
18684-07,9
7618-07,84
905-07,320
15554-07,21
2184-07,49
7002-07,30
1759-07,47
474-07,4
4314-07,277
4990-07,184
9270-07,19
17030-07,214
5595-07,277
21584-07,11
5045-07,17
9776-07,19
1333-07,63
533-07,8
11062-07,294
20679-07,26
297-07,190
3119-07,47
5444-07,25
1985-07,92
7275-07,6
10843-07,2
3452-07,21
1209-07,107
14174-07,301
6239-07,15
398-07,5
887-07,8
1339-07,5
14645-07,266
14710-07,13
14479-07,411
571-07,6
10770-07,126
14573-07,6
18083-07,25
20264-07,358
796-07,551
8848-07,60
889-07,75
11128-07,2
16101-07,7
11658-07,10
14090-07,6
6301-07,26
18989-07,31
10536-07,316
12268-07,296
20181-07,2
9766-07,6
16413-07,18
19459-07,104
14551-07,9
4826-07,277
4450-07,61
2606-07,61
4229-07,29
969-07,617
5770-07,45
3425-07,24
10802-07,2
12386-07,109
1415-07,75
397-07,76
3978-07,11
18475-07,110
237-07,267
12493-07,3
18523-07,13
18965-07,104
712-07,593
23123-07,52
13217-07,17
1696-07,348
12131-07,38
4744-07,5
886-07,55
3876-07,387
563-07,26
8831-07,16
15170-07,112
18759-07,45
23458-07,139
295-07,25
16660-07,9
20579-07,327
7148-07,135
5611-07,20
10835-07,70
16970-07,34
16328-07,266
2496-07,12
24375-07,67
4930-07,2
5061-07,156
17783-07,35
24479-07,16
7620-07,266
572-07,5
11824-07,27
4512-07,199
11609-07,214
19457-07,101
5907-07,40
24693-07,17
6575-07,12
12502-07,5
383-07,49
6276-07,9
12764-07,15
14093-07,1
15683-07,36
17151-07,57
28111-07,1
473-07,13
14245-07,9
568-07,11
2593-07,422
8850-07,62
14088-07,410
4956-07,12
476-07,3
483-07,179
14966-07,8
857-07,183
4344-07,15
1420-07,167
16038-07,17
5438-07,182
4466-07,173
2950-07,179
5763-07,5
19449-07,84
1268-07,296
45-07,4
5759-07,19
11182-07,161
22331-07,18
12693-07,22
215-07,241
23554-07,10
18741-07,31
3541-07,554
16930-07,300
1742-07,10
978-07,452
1392-07,5
18024-07,22
19711-07,452
24367-07,503
18084-07,90
4910-07,18
5965-07,84
526-07,19
966-07,33
5486-07,48
11474-07,51
2800-07,246
18720-07,49
11133-07,2
2146-07,156
11917-07,236
13013-07,30
2688-07,387
11065-07,167
821-07,64
1486-07,147
218-07,23
7407-07,266
645-07,67
24503-07,12
2471-07,164
5418-07,18
10832-07,296
14158-07,156
15924-07,45
5019-07,22
5999-07,34
7539-07,266
14005-07,301
5436-07,244
6791-07,3
1364-07,183
1327-07,83
16072-07,34
2849-07,232
12320-07,301
8973-07,2
1528-07,114
19352-07,18
17782-07,215
4315-07,277
5777-07,96
17477-07,33
16359-07,9
2546-07,211
3434-07,2
3808-07,277
405-07,42
17521-07,74
836-07,15
5465-07,1
647-07,19
649-07,9
20580-07,327
44-07,11
4366-07,14
477-07,9
5778-07,79
1293-07,48
18928-07,241
18964-07,23
4932-07,301
5841-07,120
12761-07,17
3041-07,245
10950-07,1
5534-07,6
5315-07,22
1613-07,151
4580-07,408
13087-07,25
12680-07,9
14847-07,135
14528-07,63
1332-07,703
13622-07,144
17559-07,231
567-07,47
14160-07,17
18227-07,50
12934-07,296
6863-07,10
12003-07,54
1329-07,345
12780-07,25
11076-07,316
2667-07,9
1933-07,10
22298-07,17
426-07,31
4648-07,16
4074-07,245
3044-07,13
643-07,11
8825-07,51
12269-07,14
25630-07,21
5384-07,16
646-07,14
4779-07,2
9172-07,1
13236-07,137
7599-07,266
10951-07,1
1816-07,92
11890-07,33
9697-07,81
5164-07,277
596-07,30
11175-07,67
1913-07,232
644-07,12
9409-07,298
2497-07,11
1393-07,46
11828-07,10
4655-07,7
10061-07,90
13118-07,25
13924-07,2
11078-07,44
5536-07,63
5704-07,13
13462-07,34
15068-07,7
340-07,204
8160-07,119
14063-07,110
3031-07,233
11499-07,230
8992-07,18
8313-07,19
1363-07,183
13357-07,68
3891-07,418
7348-07,2
4929-07,22
16783-07,36
3213-07,387
4581-07,408
356-07,57
19351-07,2
21150-07,477
3024-07,221
10452-07,24
1458-07,27
4383-07,418
10927-07,17
11185-07,161
3454-07,6
1067-07,423
13232-07,113
19284-07,35
10149-07,1
53-07,28
13921-07,6
1212-07,33
16439-07,27
1394-07,20
1180-07,18
20168-07,33
12605-07,28
5537-07,73
971-07,617
10909-07,12
1302-07,671
6997-07,28
9576-07,48
6814-07,2
7383-07,172
2244-07,429
21492-07,112
7220-07,67
1658-07,164
3955-07,183
4958-07,9
396-07,2
3042-07,245
9045-07,83
14036-07,3
5257-07,277
6899-07,122
5163-07,277
9273-07,102
9460-07,34
3411-07,63
3424-07,34
2897-07,49
9966-07,1
3376-07,7
15425-07,6
14196-07,10
17661-07,171
10454-07,20
478-07,5
8030-07,16
9677-07,1
3749-07,94
2918-07,2
642-07,19
4661-07,85
8238-07,153
11132-07,5
7281-07,84
3990-07,263
5716-07,133
4949-07,4
5031-07,10
5627-07,6
11225-07,236
14343-07,106
25-07,299
19235-07,347
641-07,90
10474-07,216
429-07,21
15839-07,22
3872-07,67
1362-07,183
854-07,168
11856-07,51
17999-07,253
19179-07,15
2547-07,168
13526-07,182
2900-07,31
3132-07,10
14006-07,301
329-07,4
472-07,18
1269-07,296
13382-07,16
16585-07,90
19001-07,161
10457-07,28
569-07,1
12582-07,301
10116-07,7
18384-07,418
17807-07,554
480-07,35
4912-07,47
22182-07,152
2345-07,69
6077-07,28
10672-07,3
6619-07,15
17238-07,18
9719-07,135
12490-07,17
19521-07,2
16554-07,551
213-07,45
17988-07,160
2350-07,251
10627-07,4
6212-07,3
15963-07,11
13173-07,5
14415-07,614
7638-07,176
11654-07,15
2621-07,13
24622-07,57
18961-07,39
