,Enrolled
2550-07,148
18695-07,141
18134-07,2
15143-07,246
3884-07,110
1771-07,39
11589-07,18
5317-07,32
1692-07,194
2872-07,13
3742-07,358
10511-07,5
3368-07,38
6018-07,179
743-07,91
3629-07,52
3696-07,153
6998-07,6
4241-07,16
1024-07,99
10489-07,1
3113-07,40
5383-07,78
4460-07,3
10796-07,5
1924-07,26
3373-07,9
3946-07,40
5618-07,32
2126-07,9
2608-07,22
1708-07,267
159-07,18
19034-07,2
15119-07,19
2268-07,422
313-07,110
5975-07,9
6620-07,8
3072-07,233
6421-07,29
2181-07,452
685-07,148
8998-07,5
1440-07,24
13459-07,30
26220-07,224
22279-07,23
4230-07,8
7551-07,146
8233-07,176
16726-07,10
4068-07,554
825-07,577
17493-07,8
6962-07,12
5743-07,121
1916-07,2
3221-07,156
24831-07,172
6507-07,84
12708-07,33
23576-07,49
2444-07,74
471-07,671
6978-07,277
1441-07,15
7771-07,276
18308-07,29
16344-07,1
10464-07,11
18433-07,10
14812-07,6
7518-07,14
4235-07,18
639-07,656
12505-07,102
13882-07,277
2871-07,15
5773-07,358
6369-07,32
2470-07,164
9212-07,135
4765-07,20
10799-07,1
4236-07,8
26052-07,224
995-07,33
858-07,68
2613-07,74
6953-07,121
13204-07,17
1756-07,35
6993-07,85
5087-07,41
13651-07,1
219-07,22
6815-07,38
590-07,210
1271-07,92
5517-07,13
7645-07,135
15182-07,11
9529-07,222
10800-07,1
13161-07,80
2475-07,189
3355-07,45
26100-07,32
246-07,35
12022-07,592
11307-07,1
3632-07,5
14682-07,39
12823-07,80
4984-07,318
17233-07,10
2489-07,20
3817-07,31
11820-07,17
3951-07,35
16987-07,321
2798-07,194
5571-07,179
19260-07,160
16450-07,123
18310-07,234
15949-07,27
4573-07,554
4622-07,16
1856-07,108
13791-07,144
5512-07,9
581-07,227
597-07,19
12040-07,10
13027-07,41
2380-07,97
5136-07,22
10594-07,191
7886-07,263
11186-07,11
9210-07,5
9709-07,176
1365-07,32
14849-07,2
17085-07,5
12120-07,169
21026-07,14
3375-07,1
8684-07,16
529-07,4
6341-07,19
2568-07,205
1418-07,166
9631-07,82
1747-07,12
4754-07,42
2868-07,5
5024-07,11
7997-07,226
8833-07,37
